time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1522576711, 12, 4, 14200, 75, 950383, 64.45, 64.50
1522576786, 12, 4, 14200, 75, 117183, 69.83, 69.80
1522576867, 12, 4, 14200, 80, 637818, 70.37, 70.90
1522576941, 12, 4, 14200, 74, 836305, 73.60, 73.60
1522577019, 12, 4, 14200, 77, 181715, 74.67, 74.70
1522577096, 12, 4, 14200, 77, 148040, 74.67, 74.10
1522577176, 12, 4, 14200, 79, 677799, 74.67, 74.10
1522577256, 12, 4, 14200, 79, 951257, 74.67, 74.70
1522577337, 12, 4, 14200, 81, 202392, 74.14, 74.70
1522577415, 12, 4, 14200, 77, 96527, 76.29, 76.30
1522577498, 12, 4, 14200, 82, 973657, 75.21, 74.10
1522577577, 12, 4, 14200, 78, 766129, 75.21, 75.20
1522577657, 12, 4, 14200, 79, 901738, 75.75, 75.20
1522577738, 12, 4, 14200, 81, 376365, 75.21, 75.20
1522577818, 12, 4, 14200, 79, 960925, 76.29, 75.80
1522577899, 12, 4, 14200, 80, 99309, 76.29, 76.30
1522577978, 12, 4, 14200, 78, 920572, 76.29, 76.30
1522578059, 12, 4, 14200, 80, 719875, 77.36, 76.80
1522578138, 12, 4, 14200, 79, 507835, 77.36, 77.40
1522578218, 12, 4, 14200, 79, 467235, 78.44, 77.90
1522578298, 12, 4, 14200, 79, 724715, 77.90, 77.90
1522578379, 12, 4, 14200, 81, 433292, 76.83, 77.40
1522578464, 12, 4, 14200, 84, 298113, 75.21, 75.80
1522578543, 12, 4, 14200, 79, 310197, 76.29, 76.80
1522578624, 12, 4, 14200, 80, 493226, 76.29, 76.30
1522578706, 12, 4, 14200, 82, 89001, 75.75, 75.80
1522578788, 12, 4, 14200, 82, 111321, 76.29, 75.80
1522578868, 12, 4, 14200, 79, 161267, 77.36, 77.40
1522578947, 12, 4, 14200, 78, 945828, 77.90, 78.40
1522579028, 12, 4, 14200, 81, 568691, 76.29, 76.30
1522579108, 12, 4, 14200, 79, 122785, 77.90, 77.90
1522579187, 12, 4, 14200, 79, 524979, 77.90, 77.90
1522579269, 12, 4, 14200, 81, 143830, 76.29, 76.30
1522579348, 12, 4, 14200, 78, 809690, 77.36, 77.40
1522579428, 12, 4, 14200, 79, 646997, 77.90, 77.90
1522579508, 12, 4, 14200, 80, 338297, 77.90, 77.90
1522579595, 12, 4, 14200, 86, 906090, 75.21, 75.20
1522579675, 12, 4, 14200, 79, 649041, 76.29, 76.30
1522579754, 12, 4, 14200, 79, 394325, 77.36, 77.40
1522579835, 12, 4, 14200, 80, 870001, 77.90, 77.40
1522579916, 12, 4, 14200, 80, 239738, 77.36, 77.40
1522579994, 12, 4, 14200, 77, 695578, 78.44, 79.00
1522580085, 12, 4, 14200, 91, 17933, 74.14, 74.10
1522580163, 12, 4, 14200, 77, 731982, 77.36, 77.40
1522580248, 12, 4, 14200, 85, 109740, 75.21, 75.20
1522580327, 12, 4, 14200, 78, 644378, 77.36, 77.40
1522580409, 12, 4, 14200, 82, 51457, 76.29, 76.80
1522580493, 12, 4, 14200, 84, 244951, 75.75, 75.20
1522580577, 12, 4, 14200, 82, 991144, 75.75, 76.30
1522580657, 12, 4, 14200, 80, 100880, 76.29, 76.30
1522580737, 12, 4, 14200, 79, 915728, 77.36, 77.40
1522580821, 12, 4, 14200, 83, 763414, 75.21, 75.80
1522580899, 12, 4, 14200, 78, 305539, 77.36, 77.40
1522580979, 12, 4, 14200, 79, 618642, 77.36, 76.80
1522581059, 12, 4, 14200, 79, 578313, 77.90, 77.90
1522581139, 12, 4, 14200, 79, 669569, 77.36, 77.90
1522581222, 12, 4, 14200, 83, 592244, 76.29, 76.30
1522581302, 12, 4, 14200, 79, 475401, 77.90, 76.80
1522581383, 12, 4, 14200, 80, 911514, 77.36, 77.40
1522581467, 12, 4, 14200, 83, 343674, 76.29, 76.30
1522581552, 12, 4, 14200, 85, 553731, 75.21, 75.20
1522581630, 12, 4, 14200, 77, 742656, 77.36, 77.90
1522581710, 12, 4, 14200, 79, 921108, 77.90, 77.40
1522581796, 12, 4, 14200, 85, 322700, 75.21, 75.80
1522581876, 12, 4, 14200, 80, 50317, 77.36, 76.80
1522581961, 12, 4, 14200, 84, 688682, 75.21, 75.20
1522582037, 12, 4, 14200, 76, 270921, 78.44, 78.40
1522582122, 12, 4, 14200, 84, 335962, 76.29, 76.30
1522582201, 12, 4, 14200, 78, 805790, 77.90, 77.40
1522582286, 12, 4, 14200, 85, 551803, 75.75, 75.20
1522582369, 12, 4, 14200, 82, 182650, 73.60, 73.10
1522582444, 12, 4, 14200, 74, 978981, 77.90, 77.90
1522582523, 12, 4, 14200, 79, 435707, 77.90, 77.90
1522582606, 12, 4, 14200, 82, 907072, 76.29, 76.80
1522582686, 12, 4, 14200, 79, 117828, 77.90, 77.40
1522582768, 12, 4, 14200, 81, 775164, 77.36, 77.40
1522582850, 12, 4, 14200, 81, 793395, 76.29, 76.30
1522582928, 12, 4, 14200, 77, 924293, 78.98, 78.40
1522583009, 12, 4, 14200, 81, 760803, 77.36, 77.40
1522583092, 12, 4, 14200, 82, 796421, 76.83, 77.40
1522583175, 12, 4, 14200, 82, 53312, 77.36, 76.80
1522583255, 12, 4, 14200, 80, 326761, 77.90, 77.40
1522583339, 12, 4, 14200, 83, 856453, 76.29, 76.30
1522583421, 12, 4, 14200, 81, 625442, 76.83, 76.80
1522583506, 12, 4, 14200, 84, 947167, 75.21, 75.20
1522583587, 12, 4, 14200, 81, 113323, 76.29, 76.80
1522583667, 12, 4, 14200, 79, 194019, 78.44, 77.90
1522583746, 12, 4, 14200, 79, 610527, 78.44, 77.90
1522583828, 12, 4, 14200, 80, 904468, 77.36, 77.90
1522583908, 12, 4, 14200, 80, 149892, 78.44, 77.90
1522583989, 12, 4, 14200, 81, 122667, 77.36, 77.40
1522584071, 12, 4, 14200, 81, 810220, 77.90, 77.40
1522584158, 12, 4, 14200, 86, 234929, 75.75, 75.20
1522584241, 12, 4, 14200, 83, 719360, 75.21, 75.20
1522584324, 12, 4, 14200, 82, 772622, 75.21, 75.80
1522584405, 12, 4, 14200, 80, 159034, 76.83, 77.40
1522584483, 12, 4, 14200, 78, 581835, 78.44, 78.40
1522584566, 12, 4, 14200, 82, 184547, 76.83, 77.40
1522584645, 12, 4, 14200, 79, 268483, 77.36, 78.40
1522584724, 12, 4, 14200, 78, 801381, 75.75, 76.30
