time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1522455567, 12, 4, 14200, 68, 802512, 69.29, 69.30
1522455635, 12, 4, 14200, 68, 281225, 72.52, 72.50
1522455703, 12, 4, 14200, 67, 795831, 75.21, 75.20
1522455772, 12, 4, 14200, 68, 396791, 75.21, 75.80
1522455840, 12, 4, 14200, 68, 787201, 77.36, 76.30
1522455910, 12, 4, 14200, 69, 163460, 77.36, 77.90
1522455980, 12, 4, 14200, 70, 175263, 76.83, 77.40
1522456050, 12, 4, 14200, 70, 239285, 77.90, 78.40
1522456120, 12, 4, 14200, 69, 905887, 77.36, 77.40
1522456190, 12, 4, 14200, 69, 951406, 77.36, 77.40
1522456261, 12, 4, 14200, 70, 550598, 76.83, 77.40
1522456332, 12, 4, 14200, 70, 613853, 77.36, 77.90
1522456402, 12, 4, 14200, 70, 663628, 77.90, 77.40
1522456473, 12, 4, 14200, 70, 828216, 76.83, 77.40
1522456544, 12, 4, 14200, 70, 809206, 76.83, 77.40
1522456615, 12, 4, 14200, 70, 756609, 77.36, 77.90
1522456686, 12, 4, 14200, 70, 789992, 76.83, 76.30
1522456756, 12, 4, 14200, 70, 321574, 77.36, 76.80
1522456827, 12, 4, 14200, 70, 324409, 77.90, 77.40
1522456897, 12, 4, 14200, 70, 542583, 77.36, 76.80
1522456968, 12, 4, 14200, 70, 30832, 77.36, 77.40
1522457038, 12, 4, 14200, 70, 315588, 77.36, 77.40
1522457108, 12, 4, 14200, 70, 133001, 77.36, 77.40
1522457178, 12, 4, 14200, 70, 222139, 77.36, 77.40
1522457249, 12, 4, 14200, 70, 504606, 76.29, 76.30
1522457320, 12, 4, 14200, 71, 196150, 77.36, 76.80
1522457391, 12, 4, 14200, 70, 639929, 77.36, 77.40
1522457462, 12, 4, 14200, 71, 253592, 76.29, 76.80
1522457533, 12, 4, 14200, 70, 221965, 77.36, 77.40
1522457604, 12, 4, 14200, 70, 985620, 76.83, 76.80
1522457675, 12, 4, 14200, 70, 861942, 76.83, 77.40
1522457745, 12, 4, 14200, 70, 544379, 76.29, 77.40
1522457816, 12, 4, 14200, 70, 864685, 76.29, 76.80
1522457887, 12, 4, 14200, 70, 471442, 77.36, 77.90
1522457958, 12, 4, 14200, 70, 808998, 77.36, 77.40
1522458029, 12, 4, 14200, 71, 365230, 76.83, 76.30
1522458100, 12, 4, 14200, 70, 938723, 77.36, 77.40
1522458171, 12, 4, 14200, 70, 170024, 77.90, 77.90
1522458242, 12, 4, 14200, 71, 448394, 75.75, 76.30
1522458314, 12, 4, 14200, 71, 247181, 77.36, 76.80
1522458385, 12, 4, 14200, 70, 955050, 76.83, 77.40
1522458455, 12, 4, 14200, 70, 789006, 77.36, 78.40
1522458528, 12, 4, 14200, 72, 2435, 76.83, 77.40
1522458598, 12, 4, 14200, 70, 743046, 77.36, 77.90
1522458669, 12, 4, 14200, 70, 842700, 76.83, 76.30
1522458741, 12, 4, 14200, 71, 273886, 76.83, 76.80
1522458812, 12, 4, 14200, 71, 577328, 76.29, 76.30
1522458883, 12, 4, 14200, 70, 755961, 77.36, 77.40
1522458954, 12, 4, 14200, 70, 738209, 77.36, 76.80
1522459025, 12, 4, 14200, 71, 86135, 77.36, 77.90
1522459097, 12, 4, 14200, 71, 440626, 76.83, 76.80
1522459168, 12, 4, 14200, 71, 8757, 76.29, 77.40
1522459238, 12, 4, 14200, 70, 214179, 77.36, 77.40
1522459309, 12, 4, 14200, 70, 636178, 78.98, 78.40
1522459380, 12, 4, 14200, 71, 212369, 77.90, 77.40
1522459452, 12, 4, 14200, 71, 893325, 77.36, 77.40
1522459524, 12, 4, 14200, 71, 355948, 76.83, 77.40
1522459595, 12, 4, 14200, 70, 738163, 76.83, 77.40
1522459666, 12, 4, 14200, 71, 307493, 76.29, 76.80
1522459737, 12, 4, 14200, 71, 158699, 76.83, 76.30
1522459809, 12, 4, 14200, 71, 385560, 76.83, 76.30
1522459880, 12, 4, 14200, 71, 483636, 76.83, 76.30
1522459951, 12, 4, 14200, 70, 792089, 76.83, 76.80
1522460022, 12, 4, 14200, 71, 175715, 77.36, 77.40
1522460093, 12, 4, 14200, 70, 572680, 77.36, 76.80
1522460165, 12, 4, 14200, 71, 690238, 76.83, 76.30
1522460235, 12, 4, 14200, 70, 211012, 78.44, 77.90
1522460307, 12, 4, 14200, 71, 682223, 76.83, 76.30
1522460378, 12, 4, 14200, 71, 423466, 76.29, 76.80
1522460449, 12, 4, 14200, 70, 742100, 77.36, 77.40
1522460519, 12, 4, 14200, 70, 212053, 78.44, 78.40
1522460591, 12, 4, 14200, 71, 328583, 77.36, 77.40
1522460663, 12, 4, 14200, 71, 619553, 76.29, 76.30
1522460733, 12, 4, 14200, 70, 906919, 77.36, 76.80
1522460805, 12, 4, 14200, 71, 504812, 76.83, 77.40
1522460876, 12, 4, 14200, 70, 592677, 77.36, 77.40
1522460947, 12, 4, 14200, 71, 300206, 77.36, 77.40
1522461018, 12, 4, 14200, 71, 271514, 76.83, 76.80
1522461089, 12, 4, 14200, 70, 927664, 77.36, 76.30
