time,iteration,size,seconds,microseconds
1522532641, 0, 4919186, 8, 512063
1522532644, 1, 1511855, 2, 933211
1522532645, 2, 437643, 0, 543526
1522532649, 3, 3224957, 4, 505158
1522532656, 4, 4919186, 7, 64310
1522532658, 5, 1000535, 1, 930093
1522532659, 6, 437643, 1, 349494
1522532667, 7, 4919186, 7, 162944
1522532667, 8, 437643, 0, 614611
1522532675, 9, 4919186, 7, 678757
1522532678, 10, 1511855, 2, 931235
1522532680, 11, 1087667, 2, 187005
1522532683, 12, 1278476, 2, 571635
1522532684, 13, 1087667, 1, 726859
1522532686, 14, 1000535, 1, 489383
1522532688, 15, 1000535, 1, 974242
1522532689, 16, 437643, 0, 945570
1522532692, 17, 1278476, 2, 868558
1522532693, 18, 1000535, 1, 235537
1522532697, 19, 1615289, 3, 767962
1522532699, 20, 1278476, 2, 764493
1522532702, 21, 1000535, 2, 887741
1522532709, 22, 4919186, 6, 430040
1522532710, 23, 1511855, 1, 845518
1522532712, 24, 1087667, 1, 926360
1522532714, 25, 437643, 1, 655946
1522532716, 26, 1278476, 2, 363802
1522532724, 27, 4919186, 7, 809814
1522532726, 28, 1278476, 1, 561713
1522532726, 29, 437643, 0, 516272
1522532732, 30, 3224957, 6, 183947
1522532736, 31, 1511855, 3, 167557
1522532737, 32, 1087667, 1, 639416
1522532743, 33, 3688570, 5, 321252
1522532746, 34, 1511855, 3, 379332
1522532746, 35, 437643, 0, 511772
1522532747, 36, 437643, 0, 511312
1522532748, 37, 951239, 1, 124296
1522532753, 38, 3224957, 4, 922416
1522532761, 39, 4919186, 7, 571011
1522532761, 40, 437643, 0, 612882
1522532763, 41, 1278476, 1, 740205
1522532769, 42, 3688570, 5, 674141
1522532771, 43, 1511855, 1, 904969
1522532779, 44, 4919186, 8, 244734
1522532781, 45, 1511855, 2, 198229
1522532784, 46, 1511855, 2, 681327
1522532785, 47, 1087667, 1, 148118
1522532787, 48, 1278476, 2, 5525
1522532794, 49, 4919186, 7, 258546
1522532796, 50, 1087667, 2, 58839
1522532801, 51, 3688570, 5, 325359
1522532807, 52, 3224957, 5, 505400
1522532809, 53, 1000535, 1, 558646
1522532811, 54, 1087667, 2, 289007
1522532812, 55, 1087667, 1, 294048
1522532815, 56, 1278476, 2, 452366
1522532817, 57, 1511855, 2, 177489
1522532821, 58, 3224957, 4, 482670
1522532824, 59, 1087667, 2, 355331
1522532825, 60, 1087667, 1, 246704
1522532827, 61, 1511855, 1, 974415
1522532830, 62, 1278476, 2, 934543
1522532831, 63, 1000535, 1, 624295
1522532834, 64, 1615289, 2, 795304
1522532836, 65, 1000535, 1, 607669
1522532839, 66, 1615289, 2, 729404
1522532844, 67, 3224957, 5, 359772
1522532847, 68, 1511855, 2, 661857
1522532851, 69, 3224957, 4, 607355
1522532858, 70, 4919186, 7, 271459
1522532859, 71, 437643, 0, 921900
1522532861, 72, 951239, 1, 226455
1522532864, 73, 1511855, 3, 174096
1522532866, 74, 1000535, 2, 354828
1522532869, 75, 1511855, 2, 662475
1522532871, 76, 1511855, 1, 776488
1522532873, 77, 1511855, 2, 114499
1522532875, 78, 1278476, 2, 149172
1522532877, 79, 1278476, 2, 662416
1522532881, 80, 1615289, 3, 275635
1522532890, 81, 4919186, 9, 318476
1522532891, 82, 951239, 1, 123091
1522532896, 83, 3224957, 4, 872761
1522532899, 84, 1615289, 2, 738668
1522532907, 85, 4919186, 8, 55620
1522532909, 86, 1511855, 1, 861349
1522532910, 87, 437643, 1, 4597
1522532911, 88, 951239, 1, 640643
1522532912, 89, 437643, 0, 612855
1522532916, 90, 1615289, 3, 736503
1522532916, 91, 437643, 0, 534468
1522532919, 92, 1615289, 2, 587942
1522532921, 93, 1000535, 2, 355746
1522532923, 94, 1511855, 1, 840887
1522532925, 95, 1087667, 1, 945346
1522532928, 96, 1278476, 2, 968471
1522532930, 97, 1000535, 2, 526765
1522532933, 98, 1615289, 2, 133253
1522532934, 99, 1000535, 1, 882132
1522532942, 100, 4919186, 7, 583822
