time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1522456218, 12, 4, 14200, 58, 761256, 65.53, 65.50
1522456278, 12, 4, 14200, 60, 136441, 67.68, 67.70
1522456341, 12, 4, 14200, 62, 886662, 67.14, 67.70
1522456403, 12, 4, 14200, 62, 57488, 67.68, 67.70
1522456466, 12, 4, 14200, 62, 928528, 67.14, 66.60
1522456528, 12, 4, 14200, 61, 718563, 67.68, 67.70
1522456590, 12, 4, 14200, 61, 757672, 67.68, 68.20
1522456652, 12, 4, 14200, 61, 690532, 68.22, 67.70
1522456714, 12, 4, 14200, 62, 27029, 67.68, 67.70
1522456777, 12, 4, 14200, 63, 49673, 66.60, 67.70
1522456839, 12, 4, 14200, 62, 39731, 68.22, 68.20
1522456901, 12, 4, 14200, 61, 946335, 67.68, 67.70
1522456964, 12, 4, 14200, 62, 550652, 66.60, 66.60
1522457026, 12, 4, 14200, 61, 635743, 67.68, 67.70
1522457088, 12, 4, 14200, 62, 489218, 66.60, 67.10
1522457150, 12, 4, 14200, 61, 933121, 67.68, 67.70
1522457213, 12, 4, 14200, 62, 827115, 67.14, 67.70
1522457276, 12, 4, 14200, 63, 80894, 67.14, 67.10
1522457339, 12, 4, 14200, 62, 331653, 67.14, 67.10
1522457402, 12, 4, 14200, 63, 220429, 67.68, 67.70
1522457466, 12, 4, 14200, 63, 498228, 67.68, 67.70
1522457529, 12, 4, 14200, 63, 435841, 67.14, 67.70
1522457592, 12, 4, 14200, 63, 300701, 67.68, 67.70
1522457656, 12, 4, 14200, 63, 45679, 67.68, 67.70
1522457719, 12, 4, 14200, 62, 929235, 67.14, 66.60
1522457781, 12, 4, 14200, 62, 490344, 68.22, 67.70
1522457844, 12, 4, 14200, 62, 467701, 68.22, 68.20
1522457907, 12, 4, 14200, 62, 741213, 67.68, 68.80
1522457970, 12, 4, 14200, 62, 874330, 67.68, 67.70
1522458032, 12, 4, 14200, 62, 170737, 68.76, 67.70
1522458095, 12, 4, 14200, 63, 567629, 67.68, 67.70
1522458159, 12, 4, 14200, 63, 565648, 67.68, 67.10
1522458223, 12, 4, 14200, 63, 410515, 67.68, 67.10
1522458285, 12, 4, 14200, 62, 316384, 68.76, 68.20
1522458349, 12, 4, 14200, 63, 773083, 67.68, 67.10
1522458412, 12, 4, 14200, 63, 141602, 67.68, 67.10
1522458475, 12, 4, 14200, 62, 644574, 68.76, 67.70
1522458537, 12, 4, 14200, 62, 575624, 67.68, 67.70
1522458600, 12, 4, 14200, 62, 367550, 67.68, 68.20
1522458662, 12, 4, 14200, 62, 416276, 68.22, 67.70
1522458725, 12, 4, 14200, 62, 588235, 67.68, 67.70
1522458787, 12, 4, 14200, 62, 185632, 68.76, 67.70
1522458850, 12, 4, 14200, 62, 606524, 67.68, 67.70
1522458913, 12, 4, 14200, 63, 265201, 67.68, 67.10
1522458977, 12, 4, 14200, 63, 284882, 67.68, 67.70
1522459040, 12, 4, 14200, 63, 343616, 67.68, 67.10
1522459103, 12, 4, 14200, 62, 388269, 67.14, 67.70
1522459165, 12, 4, 14200, 62, 58957, 68.76, 68.80
1522459228, 12, 4, 14200, 63, 202242, 66.60, 67.10
1522459291, 12, 4, 14200, 63, 302838, 67.14, 67.70
1522459354, 12, 4, 14200, 62, 111602, 67.68, 67.70
1522459416, 12, 4, 14200, 62, 241973, 67.68, 68.20
1522459479, 12, 4, 14200, 63, 367641, 67.68, 67.70
1522459542, 12, 4, 14200, 62, 353842, 67.68, 68.80
1522459604, 12, 4, 14200, 61, 907730, 67.68, 67.70
1522459666, 12, 4, 14200, 62, 419680, 67.68, 68.20
1522459730, 12, 4, 14200, 63, 117409, 67.14, 67.70
1522459793, 12, 4, 14200, 63, 122231, 67.14, 67.10
1522459856, 12, 4, 14200, 63, 371901, 67.68, 66.60
1522459918, 12, 4, 14200, 62, 79146, 68.76, 68.80
1522459981, 12, 4, 14200, 62, 333920, 68.76, 68.80
1522460043, 12, 4, 14200, 62, 543754, 68.22, 67.70
1522460106, 12, 4, 14200, 62, 557760, 67.68, 68.20
1522460169, 12, 4, 14200, 62, 814439, 68.76, 68.20
1522460231, 12, 4, 14200, 62, 266478, 68.76, 67.70
1522460294, 12, 4, 14200, 62, 706471, 67.14, 68.20
1522460356, 12, 4, 14200, 62, 269409, 68.76, 68.80
1522460419, 12, 4, 14200, 62, 58148, 68.22, 68.20
1522460481, 12, 4, 14200, 62, 125030, 67.68, 68.20
1522460545, 12, 4, 14200, 63, 663841, 67.14, 66.60
1522460608, 12, 4, 14200, 63, 71109, 67.14, 67.10
1522460670, 12, 4, 14200, 62, 90858, 68.22, 67.70
1522460733, 12, 4, 14200, 62, 832843, 67.68, 66.60
1522460796, 12, 4, 14200, 62, 747075, 67.14, 67.70
1522460857, 12, 4, 14200, 61, 747712, 68.22, 67.70
1522460920, 12, 4, 14200, 61, 998929, 67.14, 67.70
1522460982, 12, 4, 14200, 62, 725408, 67.68, 67.10
1522461045, 12, 4, 14200, 62, 801501, 67.68, 67.10
1522461108, 12, 4, 14200, 62, 413026, 67.68, 67.70
1522461171, 12, 4, 14200, 62, 993843, 67.14, 67.70
1522461233, 12, 4, 14200, 62, 188393, 68.22, 67.70
1522461295, 12, 4, 14200, 62, 158852, 67.68, 68.20
1522461358, 12, 4, 14200, 62, 261825, 68.22, 68.80
1522461420, 12, 4, 14200, 62, 227320, 68.22, 67.70
1522461483, 12, 4, 14200, 63, 102927, 67.68, 67.70
1522461546, 12, 4, 14200, 62, 528254, 67.68, 67.70
1522461609, 12, 4, 14200, 63, 312262, 67.68, 67.70
1522461672, 12, 4, 14200, 63, 25629, 67.14, 67.10
1522461736, 12, 4, 14200, 63, 335596, 66.60, 66.60
1522461798, 12, 4, 14200, 62, 52832, 67.68, 67.70
