time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1566140047, 12, 4, 14200, 66, 998141, 30.37, 30.37
1566140115, 12, 4, 14200, 67, 226209, 36.66, 36.66
1566140181, 12, 4, 14200, 66, 713568, 43.68, 43.68
1566140248, 12, 4, 14200, 66, 652859, 47.67, 47.67
1566140315, 12, 4, 14200, 66, 824575, 48.64, 48.64
1566140382, 12, 4, 14200, 67, 116830, 48.40, 48.40
1566140450, 12, 4, 14200, 67, 88673, 51.30, 51.30
1566140517, 12, 4, 14200, 67, 737995, 51.79, 51.79
1566140585, 12, 4, 14200, 67, 130156, 54.57, 54.57
1566140652, 12, 4, 14200, 66, 963775, 55.90, 55.90
1566140719, 12, 4, 14200, 67, 417696, 56.51, 56.51
1566140786, 12, 4, 14200, 67, 19931, 57.72, 57.72
1566140854, 12, 4, 14200, 67, 132078, 60.14, 60.14
1566140921, 12, 4, 14200, 67, 568959, 58.56, 58.56
1566140988, 12, 4, 14200, 66, 916902, 62.31, 62.31
1566141055, 12, 4, 14200, 66, 932879, 64.61, 64.61
1566141124, 12, 4, 14200, 68, 167188, 63.77, 63.77
1566141193, 12, 4, 14200, 69, 271009, 65.10, 64.01
1566141263, 12, 4, 14200, 69, 601930, 64.98, 64.49
1566141333, 12, 4, 14200, 69, 657774, 64.86, 64.86
1566141403, 12, 4, 14200, 70, 315256, 63.77, 63.77
1566141473, 12, 4, 14200, 69, 543094, 66.19, 66.19
1566141543, 12, 4, 14200, 69, 905407, 65.70, 65.70
1566141612, 12, 4, 14200, 69, 639890, 66.55, 66.55
1566141683, 12, 4, 14200, 70, 87467, 65.94, 65.94
1566141753, 12, 4, 14200, 69, 867401, 66.91, 66.31
1566141823, 12, 4, 14200, 69, 737678, 69.09, 69.09
1566141894, 12, 4, 14200, 71, 336488, 65.94, 65.94
1566141965, 12, 4, 14200, 70, 502985, 66.79, 66.79
1566142035, 12, 4, 14200, 69, 978948, 68.49, 67.52
1566142105, 12, 4, 14200, 70, 108170, 69.21, 69.21
1566142175, 12, 4, 14200, 70, 40899, 68.97, 68.97
1566142246, 12, 4, 14200, 70, 514952, 67.16, 67.16
1566142316, 12, 4, 14200, 69, 884282, 69.09, 69.09
1566142387, 12, 4, 14200, 70, 887470, 68.49, 68.49
1566142457, 12, 4, 14200, 70, 143133, 70.91, 70.91
1566142528, 12, 4, 14200, 71, 69268, 68.00, 68.00
1566142599, 12, 4, 14200, 70, 189511, 69.58, 69.58
1566142669, 12, 4, 14200, 70, 371580, 68.49, 68.49
1566142740, 12, 4, 14200, 70, 566069, 66.79, 66.79
1566142810, 12, 4, 14200, 70, 66996, 68.49, 68.49
