time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1566148971, 12, 1, 14200, 252, 97670, 27.71, 27.71
1566149223, 12, 1, 14200, 251, 874315, 29.40, 28.19
1566149474, 12, 1, 14200, 251, 251613, 29.04, 28.43
1566149725, 12, 1, 14200, 250, 900319, 29.40, 29.40
1566149978, 12, 1, 14200, 252, 810502, 29.40, 29.40
1566150230, 12, 1, 14200, 252, 338324, 30.01, 30.01
1566150483, 12, 1, 14200, 252, 238373, 30.01, 30.01
1566150734, 12, 1, 14200, 251, 34139, 29.77, 29.77
1566150986, 12, 1, 14200, 252, 426434, 30.37, 30.37
1566151237, 12, 1, 14200, 250, 908621, 30.25, 30.25
1566151489, 12, 1, 14200, 251, 256297, 29.40, 29.40
1566151741, 12, 1, 14200, 252, 156342, 30.13, 29.77
1566151992, 12, 1, 14200, 250, 954689, 30.25, 30.25
1566152243, 12, 1, 14200, 251, 291468, 30.01, 30.01
1566152494, 12, 1, 14200, 250, 829285, 29.52, 29.52
1566152746, 12, 1, 14200, 251, 547099, 29.16, 29.16
1566152998, 12, 1, 14200, 251, 480641, 29.52, 28.80
1566153249, 12, 1, 14200, 251, 300812, 31.46, 30.37
1566153501, 12, 1, 14200, 251, 366507, 30.13, 30.13
1566153752, 12, 1, 14200, 251, 539448, 30.61, 30.61
1566154004, 12, 1, 14200, 251, 360731, 30.13, 30.13
1566154255, 12, 1, 14200, 251, 237660, 30.61, 30.61
1566154507, 12, 1, 14200, 251, 859037, 30.01, 30.01
1566154758, 12, 1, 14200, 251, 240677, 30.25, 30.25
1566155010, 12, 1, 14200, 251, 152134, 30.73, 30.73
1566155261, 12, 1, 14200, 251, 255606, 29.77, 29.77
1566155513, 12, 1, 14200, 251, 470766, 30.37, 30.37
1566155764, 12, 1, 14200, 251, 239183, 31.10, 31.10
1566156017, 12, 1, 14200, 252, 810664, 30.49, 30.49
1566156270, 12, 1, 14200, 252, 867470, 29.64, 29.64
1566156523, 12, 1, 14200, 252, 750360, 29.89, 29.89
1566156774, 12, 1, 14200, 251, 342001, 29.52, 29.52
1566157026, 12, 1, 14200, 251, 844940, 29.77, 29.77
1566157277, 12, 1, 14200, 251, 417245, 30.98, 29.77
1566157529, 12, 1, 14200, 251, 244985, 30.37, 28.80
1566157780, 12, 1, 14200, 251, 244534, 31.10, 31.10
1566158032, 12, 1, 14200, 251, 760592, 30.25, 30.25
1566158283, 12, 1, 14200, 251, 183622, 30.25, 30.25
1566158535, 12, 1, 14200, 251, 555948, 30.01, 30.01
1566158786, 12, 1, 14200, 251, 185104, 30.61, 30.61
1566159039, 12, 1, 14200, 252, 772202, 29.77, 29.77
1566159292, 12, 1, 14200, 252, 902859, 30.49, 30.49
1566159544, 12, 1, 14200, 251, 723159, 30.37, 30.37
1566159796, 12, 1, 14200, 251, 498046, 30.86, 30.25
1566160047, 12, 1, 14200, 251, 659394, 29.77, 29.77
