time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1566164871, 12, 4, 14200, 48, 985017, 61.22, 61.20
1566164921, 12, 4, 14200, 49, 847526, 64.99, 65.00
1566164971, 12, 4, 14200, 49, 857708, 66.60, 66.60
1566165021, 12, 4, 14200, 50, 18415, 68.22, 68.80
1566165072, 12, 4, 14200, 50, 93883, 69.29, 69.80
1566165121, 12, 4, 14200, 49, 358973, 70.91, 70.90
1566165170, 12, 4, 14200, 49, 342481, 70.91, 70.90
1566165220, 12, 4, 14200, 49, 490591, 71.98, 71.40
1566165270, 12, 4, 14200, 49, 863197, 72.52, 71.40
1566165319, 12, 4, 14200, 49, 382699, 73.60, 73.10
1566165369, 12, 4, 14200, 49, 818089, 73.06, 73.10
1566165419, 12, 4, 14200, 49, 448413, 73.06, 73.60
1566165469, 12, 4, 14200, 49, 494031, 74.14, 74.10
1566165519, 12, 4, 14200, 49, 933806, 74.67, 74.10
1566165569, 12, 4, 14200, 49, 849372, 74.14, 74.10
1566165619, 12, 4, 14200, 49, 905478, 74.67, 74.70
1566165669, 12, 4, 14200, 49, 822931, 74.67, 75.20
1566165719, 12, 4, 14200, 49, 916485, 75.21, 74.70
1566165769, 12, 4, 14200, 49, 913954, 75.21, 75.20
1566165818, 12, 4, 14200, 49, 719523, 75.75, 75.20
1566165868, 12, 4, 14200, 49, 734854, 75.21, 75.20
1566165918, 12, 4, 14200, 49, 808005, 75.21, 75.20
1566165968, 12, 4, 14200, 49, 483247, 75.21, 75.80
1566166018, 12, 4, 14200, 49, 747197, 75.21, 75.20
1566166068, 12, 4, 14200, 49, 999858, 75.21, 76.30
1566166118, 12, 4, 14200, 50, 57198, 75.75, 75.80
1566166168, 12, 4, 14200, 49, 801501, 76.29, 75.20
1566166217, 12, 4, 14200, 49, 409753, 76.29, 75.80
1566166267, 12, 4, 14200, 49, 375515, 76.29, 76.30
1566166316, 12, 4, 14200, 49, 475185, 76.29, 76.80
1566166366, 12, 4, 14200, 49, 783417, 76.29, 76.30
1566166416, 12, 4, 14200, 50, 29864, 76.29, 76.30
1566166466, 12, 4, 14200, 49, 303778, 76.83, 76.30
1566166516, 12, 4, 14200, 49, 746987, 76.83, 75.80
1566166565, 12, 4, 14200, 49, 682833, 77.36, 76.80
1566166615, 12, 4, 14200, 50, 16198, 76.29, 76.30
1566166666, 12, 4, 14200, 50, 83767, 76.83, 75.80
1566166716, 12, 4, 14200, 49, 994434, 75.75, 75.80
1566166766, 12, 4, 14200, 50, 71054, 75.75, 75.80
1566166815, 12, 4, 14200, 49, 542099, 75.75, 76.80
1566166865, 12, 4, 14200, 49, 529152, 76.29, 76.30
1566166915, 12, 4, 14200, 50, 211303, 76.29, 76.30
1566166965, 12, 4, 14200, 49, 759499, 75.75, 75.80
1566167015, 12, 4, 14200, 49, 761202, 76.29, 76.30
1566167065, 12, 4, 14200, 49, 519861, 76.83, 76.30
1566167114, 12, 4, 14200, 49, 535233, 76.29, 76.30
1566167164, 12, 4, 14200, 49, 466163, 77.36, 76.30
1566167213, 12, 4, 14200, 49, 282344, 77.36, 77.40
1566167263, 12, 4, 14200, 49, 383628, 76.83, 76.30
1566167313, 12, 4, 14200, 50, 619, 76.29, 76.80
1566167363, 12, 4, 14200, 49, 661809, 76.83, 77.40
1566167413, 12, 4, 14200, 49, 904146, 76.83, 76.80
1566167463, 12, 4, 14200, 49, 940804, 76.29, 76.30
1566167513, 12, 4, 14200, 49, 906712, 77.36, 77.40
1566167563, 12, 4, 14200, 49, 931869, 76.29, 76.80
1566167613, 12, 4, 14200, 49, 999163, 76.83, 76.30
1566167663, 12, 4, 14200, 49, 555160, 77.36, 76.80
1566167712, 12, 4, 14200, 49, 469682, 77.36, 77.40
1566167762, 12, 4, 14200, 49, 950486, 76.29, 77.40
1566167812, 12, 4, 14200, 49, 630452, 77.36, 77.40
1566167862, 12, 4, 14200, 49, 954601, 76.29, 76.30
1566167912, 12, 4, 14200, 49, 564818, 77.36, 77.40
1566167961, 12, 4, 14200, 49, 879522, 77.36, 76.80
