time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1566307572, 12, 1, 14200, 159, 49526, 60.15, 60.10
1566307741, 12, 1, 14200, 169, 14643, 60.15, 60.10
1566307913, 12, 1, 14200, 172, 403637, 60.15, 60.10
1566308085, 12, 1, 14200, 171, 506172, 60.15, 60.10
1566308257, 12, 1, 14200, 172, 415678, 60.15, 60.10
1566308431, 12, 1, 14200, 173, 318066, 60.15, 60.10
1566308603, 12, 1, 14200, 171, 998004, 59.07, 60.10
1566308774, 12, 1, 14200, 170, 697038, 60.15, 59.10
1566308946, 12, 1, 14200, 171, 952110, 59.07, 60.10
1566309118, 12, 1, 14200, 171, 990091, 59.61, 60.10
1566309289, 12, 1, 14200, 170, 901001, 60.15, 60.10
1566309458, 12, 1, 14200, 169, 646132, 59.61, 60.10
1566309629, 12, 1, 14200, 170, 868460, 60.15, 59.60
1566309800, 12, 1, 14200, 170, 463303, 60.15, 60.10
1566309969, 12, 1, 14200, 169, 155937, 60.15, 60.10
1566310139, 12, 1, 14200, 169, 560669, 60.15, 60.10
1566310309, 12, 1, 14200, 169, 627116, 59.61, 59.60
1566310479, 12, 1, 14200, 170, 223649, 60.15, 60.10
1566310649, 12, 1, 14200, 169, 945783, 60.15, 59.10
1566310819, 12, 1, 14200, 169, 886841, 60.15, 60.10
1566310989, 12, 1, 14200, 170, 434252, 59.61, 60.10
1566311158, 12, 1, 14200, 169, 84205, 59.61, 60.10
1566311328, 12, 1, 14200, 169, 834011, 59.07, 59.60
1566311499, 12, 1, 14200, 170, 424444, 59.61, 60.10
1566311669, 12, 1, 14200, 170, 288168, 60.15, 60.10
1566311839, 12, 1, 14200, 169, 340272, 59.61, 60.10
1566312007, 12, 1, 14200, 168, 555702, 59.61, 60.10
1566312177, 12, 1, 14200, 169, 742297, 60.15, 59.60
1566312347, 12, 1, 14200, 169, 918927, 59.07, 59.10
1566312516, 12, 1, 14200, 168, 989512, 60.69, 60.10
1566312686, 12, 1, 14200, 169, 507645, 59.61, 59.60
1566312854, 12, 1, 14200, 168, 619433, 59.61, 59.10
1566313024, 12, 1, 14200, 169, 477001, 59.61, 60.10
1566313195, 12, 1, 14200, 170, 750189, 59.07, 59.10
1566313365, 12, 1, 14200, 169, 665234, 59.61, 59.60
1566313534, 12, 1, 14200, 169, 701151, 59.07, 59.60
1566313704, 12, 1, 14200, 169, 135569, 60.15, 59.60
1566313874, 12, 1, 14200, 170, 407494, 60.15, 59.60
1566314044, 12, 1, 14200, 169, 953232, 59.61, 60.10
1566314214, 12, 1, 14200, 169, 894582, 60.15, 60.10
1566314383, 12, 1, 14200, 168, 881386, 60.15, 60.10
1566314554, 12, 1, 14200, 170, 623529, 59.61, 60.10
1566314725, 12, 1, 14200, 170, 917373, 60.15, 60.10
1566314895, 12, 1, 14200, 169, 724515, 60.15, 59.60
1566315064, 12, 1, 14200, 169, 815661, 60.15, 60.10
