time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1566547208, 12, 4, 14200, 18, 152861, 62.81, 62.00
1566547227, 12, 4, 14200, 18, 215220, 65.73, 65.00
1566547245, 12, 4, 14200, 17, 832130, 68.65, 68.00
1566547263, 12, 4, 14200, 18, 105580, 70.60, 70.00
1566547281, 12, 4, 14200, 18, 500982, 72.55, 72.00
1566547300, 12, 4, 14200, 18, 182718, 74.01, 73.00
1566547318, 12, 4, 14200, 18, 204034, 75.96, 75.00
1566547337, 12, 4, 14200, 18, 553419, 76.44, 76.00
1566547355, 12, 4, 14200, 17, 913399, 77.91, 77.00
1566547373, 12, 4, 14200, 18, 530707, 78.88, 78.00
1566547392, 12, 4, 14200, 19, 195133, 78.39, 78.00
1566547413, 12, 4, 14200, 20, 233480, 79.37, 79.00
1566547434, 12, 4, 14200, 21, 6435, 79.85, 80.00
1566547455, 12, 4, 14200, 21, 403489, 80.83, 80.00
1566547478, 12, 4, 14200, 22, 436911, 80.83, 80.00
1566547501, 12, 4, 14200, 22, 917152, 79.85, 80.00
1566547524, 12, 4, 14200, 23, 413368, 80.83, 80.00
1566547548, 12, 4, 14200, 23, 286761, 80.34, 80.00
1566547571, 12, 4, 14200, 23, 451474, 80.34, 80.00
1566547595, 12, 4, 14200, 23, 913093, 81.31, 81.00
1566547619, 12, 4, 14200, 24, 111137, 81.31, 80.00
1566547644, 12, 4, 14200, 23, 957025, 81.31, 81.00
1566547667, 12, 4, 14200, 23, 840499, 80.83, 80.00
1566547692, 12, 4, 14200, 24, 740579, 80.83, 80.00
1566547717, 12, 4, 14200, 24, 716655, 80.34, 80.00
1566547743, 12, 4, 14200, 25, 487493, 81.31, 81.00
1566547768, 12, 4, 14200, 24, 843680, 82.29, 80.00
1566547793, 12, 4, 14200, 24, 801709, 81.31, 81.00
1566547818, 12, 4, 14200, 25, 642067, 80.83, 80.00
1566547844, 12, 4, 14200, 25, 543649, 81.31, 80.00
1566547869, 12, 4, 14200, 25, 342977, 81.80, 81.00
1566547895, 12, 4, 14200, 25, 542926, 80.34, 80.00
1566547920, 12, 4, 14200, 25, 95853, 81.31, 80.00
1566547945, 12, 4, 14200, 24, 799594, 81.31, 81.00
1566547969, 12, 4, 14200, 24, 346277, 80.34, 80.00
1566547994, 12, 4, 14200, 24, 588069, 80.83, 81.00
1566548019, 12, 4, 14200, 25, 86770, 80.83, 81.00
1566548045, 12, 4, 14200, 25, 249779, 80.83, 80.00
1566548070, 12, 4, 14200, 25, 480056, 80.34, 80.00
1566548094, 12, 4, 14200, 23, 288761, 79.37, 79.00
1566548116, 12, 4, 14200, 22, 195611, 81.31, 81.00
1566548140, 12, 4, 14200, 24, 157402, 80.83, 80.00
1566548165, 12, 4, 14200, 24, 725588, 81.80, 81.00
1566548187, 12, 4, 14200, 22, 143947, 80.83, 80.00
1566548211, 12, 4, 14200, 23, 968880, 81.31, 81.00
1566548236, 12, 4, 14200, 24, 802451, 80.34, 80.00
1566548262, 12, 4, 14200, 25, 395940, 81.31, 81.00
1566548288, 12, 4, 14200, 26, 261569, 82.29, 82.00
1566548314, 12, 4, 14200, 25, 344926, 81.31, 81.00
1566548340, 12, 4, 14200, 26, 767554, 80.34, 81.00
1566548367, 12, 4, 14200, 26, 400239, 81.31, 81.00
1566548393, 12, 4, 14200, 25, 778285, 81.31, 80.00
1566548419, 12, 4, 14200, 25, 588090, 81.31, 80.00
