time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1566549921, 12, 1, 14200, 67, 488630, 67.68, 67.00
1566549988, 12, 1, 14200, 67, 703302, 68.65, 67.00
1566550058, 12, 1, 14200, 69, 93989, 68.65, 68.00
1566550126, 12, 1, 14200, 67, 840727, 69.14, 69.00
1566550192, 12, 1, 14200, 66, 889670, 68.65, 68.00
1566550259, 12, 1, 14200, 66, 109966, 68.65, 69.00
1566550327, 12, 1, 14200, 67, 728000, 69.14, 70.00
1566550394, 12, 1, 14200, 67, 410178, 68.65, 68.00
1566550460, 12, 1, 14200, 66, 25431, 68.17, 68.00
1566550530, 12, 1, 14200, 69, 938545, 69.14, 68.00
1566550598, 12, 1, 14200, 67, 462557, 69.63, 68.00
1566550668, 12, 1, 14200, 69, 787755, 69.63, 69.00
1566550737, 12, 1, 14200, 69, 356236, 69.14, 68.00
1566550808, 12, 1, 14200, 70, 426753, 69.63, 69.00
1566550874, 12, 1, 14200, 66, 593512, 68.65, 68.00
1566550942, 12, 1, 14200, 68, 116133, 69.63, 69.00
1566551010, 12, 1, 14200, 67, 206661, 69.14, 69.00
1566551078, 12, 1, 14200, 68, 369507, 69.14, 69.00
1566551147, 12, 1, 14200, 68, 407942, 69.14, 69.00
1566551215, 12, 1, 14200, 67, 795831, 69.14, 69.00
1566551281, 12, 1, 14200, 66, 493250, 68.65, 69.00
1566551349, 12, 1, 14200, 67, 761200, 69.63, 69.00
1566551418, 12, 1, 14200, 68, 800409, 69.63, 70.00
1566551484, 12, 1, 14200, 65, 999539, 70.11, 70.00
1566551551, 12, 1, 14200, 66, 454169, 69.14, 69.00
1566551618, 12, 1, 14200, 67, 371985, 68.65, 69.00
1566551687, 12, 1, 14200, 69, 270424, 70.11, 69.00
1566551754, 12, 1, 14200, 66, 204855, 69.63, 70.00
1566551820, 12, 1, 14200, 66, 269942, 70.60, 70.00
1566551888, 12, 1, 14200, 68, 165158, 70.11, 69.00
1566551955, 12, 1, 14200, 66, 983615, 70.11, 71.00
1566552023, 12, 1, 14200, 67, 518394, 69.14, 69.00
1566552089, 12, 1, 14200, 65, 758751, 69.63, 70.00
1566552156, 12, 1, 14200, 66, 941495, 70.60, 70.00
1566552222, 12, 1, 14200, 66, 157267, 70.11, 70.00
1566552291, 12, 1, 14200, 68, 744877, 70.11, 71.00
1566552358, 12, 1, 14200, 66, 710698, 70.60, 70.00
1566552425, 12, 1, 14200, 67, 142464, 70.60, 70.00
1566552492, 12, 1, 14200, 66, 589191, 70.11, 70.00
1566552563, 12, 1, 14200, 70, 971756, 69.63, 69.00
1566552629, 12, 1, 14200, 66, 70775, 70.11, 70.00
1566552697, 12, 1, 14200, 68, 129021, 69.63, 69.00
1566552762, 12, 1, 14200, 65, 198180, 70.60, 70.00
1566552829, 12, 1, 14200, 66, 690029, 69.14, 70.00
1566552897, 12, 1, 14200, 67, 414355, 70.11, 71.00
