time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1572196198, 12, 4, 14200, 18, 366379, 33.59, 34.00
1572196216, 12, 4, 14200, 18, 582991, 34.56, 34.00
1572196235, 12, 4, 14200, 18, 200300, 34.56, 35.00
1572196253, 12, 4, 14200, 18, 746939, 35.54, 35.00
1572196272, 12, 4, 14200, 18, 233773, 36.51, 36.00
1572196290, 12, 4, 14200, 18, 141384, 36.51, 35.00
1572196308, 12, 4, 14200, 18, 190161, 37.48, 37.00
1572196327, 12, 4, 14200, 18, 391833, 37.00, 36.00
1572196345, 12, 4, 14200, 18, 75399, 37.00, 35.00
1572196363, 12, 4, 14200, 18, 239967, 37.48, 36.00
1572196382, 12, 4, 14200, 18, 462665, 37.97, 36.00
1572196401, 12, 4, 14200, 18, 830833, 37.48, 37.00
1572196419, 12, 4, 14200, 18, 232024, 36.51, 36.00
1572196438, 12, 4, 14200, 18, 332040, 38.95, 37.00
1572196456, 12, 4, 14200, 18, 172030, 37.48, 37.00
1572196475, 12, 4, 14200, 18, 546975, 37.97, 36.00
1572196493, 12, 4, 14200, 18, 486086, 37.48, 37.00
1572196512, 12, 4, 14200, 18, 752049, 37.48, 37.00
1572196531, 12, 4, 14200, 18, 525820, 38.46, 38.00
1572196549, 12, 4, 14200, 18, 288932, 38.95, 38.00
1572196567, 12, 4, 14200, 17, 947063, 37.48, 37.00
1572196585, 12, 4, 14200, 18, 192436, 38.95, 38.00
1572196604, 12, 4, 14200, 18, 246646, 37.97, 37.00
1572196622, 12, 4, 14200, 18, 610771, 37.97, 38.00
1572196641, 12, 4, 14200, 18, 357941, 38.95, 38.00
1572196659, 12, 4, 14200, 17, 896413, 38.46, 38.00
1572196677, 12, 4, 14200, 18, 406110, 37.48, 38.00
1572196696, 12, 4, 14200, 18, 376333, 38.46, 38.00
1572196714, 12, 4, 14200, 18, 50155, 38.46, 38.00
1572196733, 12, 4, 14200, 18, 724377, 39.92, 39.00
1572196751, 12, 4, 14200, 18, 160524, 37.97, 37.00
1572196770, 12, 4, 14200, 18, 746837, 38.46, 38.00
1572196788, 12, 4, 14200, 18, 459869, 37.97, 38.00
1572196806, 12, 4, 14200, 18, 162701, 38.95, 38.00
1572196825, 12, 4, 14200, 18, 469963, 38.95, 38.00
1572196843, 12, 4, 14200, 18, 157046, 37.97, 37.00
1572196862, 12, 4, 14200, 18, 455943, 39.43, 38.00
1572196880, 12, 4, 14200, 18, 215531, 40.41, 40.00
1572196899, 12, 4, 14200, 18, 502901, 38.46, 38.00
1572196917, 12, 4, 14200, 18, 221826, 38.46, 38.00
1572196935, 12, 4, 14200, 17, 826361, 39.43, 39.00
1572196953, 12, 4, 14200, 18, 56894, 38.95, 38.00
1572196972, 12, 4, 14200, 18, 626612, 38.95, 38.00
1572196990, 12, 4, 14200, 18, 81902, 38.95, 38.00
1572197009, 12, 4, 14200, 18, 612846, 39.92, 39.00
1572197027, 12, 4, 14200, 18, 323351, 39.43, 39.00
1572197045, 12, 4, 14200, 17, 972576, 38.95, 40.00
1572197063, 12, 4, 14200, 18, 68676, 39.43, 39.00
1572197082, 12, 4, 14200, 18, 229120, 39.43, 38.00
1572197100, 12, 4, 14200, 18, 85515, 40.41, 39.00
1572197118, 12, 4, 14200, 18, 342147, 38.46, 38.00
1572197137, 12, 4, 14200, 18, 678394, 38.46, 38.00
1572197156, 12, 4, 14200, 18, 707719, 38.95, 38.00
1572197174, 12, 4, 14200, 18, 492726, 39.43, 39.00
1572197192, 12, 4, 14200, 17, 852733, 39.92, 39.00
1572197211, 12, 4, 14200, 18, 354490, 39.43, 39.00
1572197229, 12, 4, 14200, 18, 360874, 39.43, 38.00
1572197248, 12, 4, 14200, 18, 559196, 38.95, 38.00
1572197266, 12, 4, 14200, 18, 215834, 38.95, 38.00
1572197284, 12, 4, 14200, 18, 231211, 39.43, 39.00
