time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1572560831, 12, 4, 14200, 17, 781582, 34.56, 34.00
1572560848, 12, 4, 14200, 17, 403746, 36.51, 35.00
1572560866, 12, 4, 14200, 17, 874506, 36.51, 36.00
1572560884, 12, 4, 14200, 18, 152056, 36.02, 35.00
1572560903, 12, 4, 14200, 18, 171850, 37.97, 37.00
1572560921, 12, 4, 14200, 18, 29716, 36.51, 36.00
1572560938, 12, 4, 14200, 17, 580988, 38.46, 38.00
1572560956, 12, 4, 14200, 17, 645246, 39.43, 39.00
1572560975, 12, 4, 14200, 18, 235465, 37.48, 37.00
1572560993, 12, 4, 14200, 18, 389482, 38.95, 37.00
1572561011, 12, 4, 14200, 17, 704129, 38.46, 38.00
1572561029, 12, 4, 14200, 17, 909058, 38.95, 38.00
1572561046, 12, 4, 14200, 17, 642652, 39.92, 39.00
1572561064, 12, 4, 14200, 17, 591929, 38.46, 38.00
1572561082, 12, 4, 14200, 17, 880910, 38.95, 39.00
1572561101, 12, 4, 14200, 18, 579324, 38.95, 39.00
1572561119, 12, 4, 14200, 17, 697230, 39.92, 40.00
1572561136, 12, 4, 14200, 17, 883124, 39.43, 39.00
1572561155, 12, 4, 14200, 17, 966621, 39.92, 39.00
1572561172, 12, 4, 14200, 17, 522986, 40.41, 40.00
1572561190, 12, 4, 14200, 17, 543057, 38.46, 38.00
1572561208, 12, 4, 14200, 17, 738065, 39.92, 39.00
1572561226, 12, 4, 14200, 18, 29716, 39.92, 39.00
1572561244, 12, 4, 14200, 18, 393396, 40.89, 40.00
1572561262, 12, 4, 14200, 18, 70371, 40.41, 40.00
1572561280, 12, 4, 14200, 17, 841856, 40.89, 40.00
1572561298, 12, 4, 14200, 17, 799475, 40.41, 40.00
1572561316, 12, 4, 14200, 17, 992535, 39.92, 39.00
1572561334, 12, 4, 14200, 17, 547211, 40.89, 40.00
1572561351, 12, 4, 14200, 17, 209782, 40.41, 40.00
1572561369, 12, 4, 14200, 17, 687914, 41.38, 41.00
1572561387, 12, 4, 14200, 17, 746361, 41.38, 40.00
1572561404, 12, 4, 14200, 17, 507289, 41.38, 41.00
1572561422, 12, 4, 14200, 17, 637624, 40.89, 40.00
1572561440, 12, 4, 14200, 17, 657037, 39.92, 39.00
1572561458, 12, 4, 14200, 17, 550456, 40.41, 40.00
1572561475, 12, 4, 14200, 17, 777708, 41.38, 41.00
1572561493, 12, 4, 14200, 17, 455203, 41.87, 41.00
1572561510, 12, 4, 14200, 17, 409919, 42.84, 42.00
1572561528, 12, 4, 14200, 17, 790926, 41.87, 40.00
1572561546, 12, 4, 14200, 17, 611083, 40.89, 40.00
1572561564, 12, 4, 14200, 17, 581484, 41.87, 41.00
1572561581, 12, 4, 14200, 17, 311538, 41.38, 41.00
1572561599, 12, 4, 14200, 17, 641974, 40.89, 40.00
1572561616, 12, 4, 14200, 17, 428429, 41.38, 40.00
1572561635, 12, 4, 14200, 18, 536655, 39.92, 39.00
1572561653, 12, 4, 14200, 17, 565695, 41.38, 41.00
1572561670, 12, 4, 14200, 17, 585572, 41.38, 41.00
1572561689, 12, 4, 14200, 18, 251456, 40.89, 40.00
1572561706, 12, 4, 14200, 17, 536084, 41.38, 41.00
1572561724, 12, 4, 14200, 17, 781990, 41.87, 42.00
1572561742, 12, 4, 14200, 17, 400206, 42.84, 41.00
1572561759, 12, 4, 14200, 17, 665674, 41.87, 41.00
1572561778, 12, 4, 14200, 18, 149089, 41.38, 41.00
1572561796, 12, 4, 14200, 17, 822170, 41.38, 41.00
1572561813, 12, 4, 14200, 17, 610829, 42.35, 42.00
1572561831, 12, 4, 14200, 17, 368868, 41.38, 41.00
1572561849, 12, 4, 14200, 17, 895948, 41.87, 41.00
1572561867, 12, 4, 14200, 17, 752514, 42.35, 42.00
1572561884, 12, 4, 14200, 17, 625599, 42.35, 42.00
1572561902, 12, 4, 14200, 17, 919868, 41.38, 41.00
1572561920, 12, 4, 14200, 17, 680932, 41.38, 41.00
1572561938, 12, 4, 14200, 17, 574824, 41.87, 41.00
1572561955, 12, 4, 14200, 17, 628879, 41.38, 41.00
1572561973, 12, 4, 14200, 17, 409518, 41.87, 42.00
1572561991, 12, 4, 14200, 18, 46507, 41.87, 42.00
1572562009, 12, 4, 14200, 17, 965186, 41.38, 41.00
1572562027, 12, 4, 14200, 17, 668078, 42.35, 42.00
1572562044, 12, 4, 14200, 17, 453161, 41.38, 41.00
1572562062, 12, 4, 14200, 17, 579259, 40.89, 40.00
1572562080, 12, 4, 14200, 17, 536637, 41.38, 41.00
1572562098, 12, 4, 14200, 17, 720320, 41.87, 41.00
1572562115, 12, 4, 14200, 17, 700961, 41.38, 42.00
1572562133, 12, 4, 14200, 17, 309897, 42.84, 42.00
1572562151, 12, 4, 14200, 18, 107101, 41.87, 41.00
1572562168, 12, 4, 14200, 17, 480940, 41.87, 42.00
1572562186, 12, 4, 14200, 18, 19646, 42.35, 42.00
1572562204, 12, 4, 14200, 17, 995989, 42.35, 42.00
1572562222, 12, 4, 14200, 17, 615811, 42.84, 42.00
1572562240, 12, 4, 14200, 17, 503392, 41.87, 41.00
1572562257, 12, 4, 14200, 17, 388277, 42.84, 42.00
1572562275, 12, 4, 14200, 17, 809561, 43.33, 43.00
1572562293, 12, 4, 14200, 17, 470469, 41.38, 41.00
1572562310, 12, 4, 14200, 17, 765708, 41.87, 41.00
1572562328, 12, 4, 14200, 17, 808908, 41.87, 41.00
1572562346, 12, 4, 14200, 17, 702304, 41.87, 42.00
1572562363, 12, 4, 14200, 17, 250139, 42.84, 42.00
1572562381, 12, 4, 14200, 17, 868925, 42.84, 42.00
1572562399, 12, 4, 14200, 17, 490229, 42.35, 42.00
1572562417, 12, 4, 14200, 17, 452603, 42.84, 42.00
1572562434, 12, 4, 14200, 17, 750664, 41.87, 41.00
1572562452, 12, 4, 14200, 17, 597776, 40.89, 41.00
1572562470, 12, 4, 14200, 17, 887000, 42.35, 42.00
1572562488, 12, 4, 14200, 17, 866436, 41.38, 41.00
1572562506, 12, 4, 14200, 17, 605256, 43.82, 43.00
1572562523, 12, 4, 14200, 17, 723262, 42.84, 42.00
1572562542, 12, 4, 14200, 18, 168424, 41.87, 41.00
1572562560, 12, 4, 14200, 17, 850067, 40.41, 40.00
1572562578, 12, 4, 14200, 17, 860291, 41.87, 41.00
1572562595, 12, 4, 14200, 17, 659899, 42.35, 42.00
