time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1572638129, 12, 4, 14200, 17, 820712, 33.59, 33.00
1572638147, 12, 4, 14200, 17, 871501, 35.54, 35.00
1572638165, 12, 4, 14200, 18, 194806, 34.56, 34.00
1572638183, 12, 4, 14200, 17, 692801, 37.00, 36.00
1572638201, 12, 4, 14200, 17, 698380, 36.51, 36.00
1572638218, 12, 4, 14200, 17, 602012, 36.51, 37.00
1572638236, 12, 4, 14200, 18, 38725, 37.00, 35.00
1572638254, 12, 4, 14200, 17, 434747, 36.51, 36.00
1572638272, 12, 4, 14200, 17, 841729, 37.00, 36.00
1572638290, 12, 4, 14200, 17, 956556, 37.48, 37.00
1572638308, 12, 4, 14200, 17, 945716, 36.51, 36.00
1572638326, 12, 4, 14200, 17, 799314, 37.00, 36.00
1572638343, 12, 4, 14200, 17, 409645, 37.48, 37.00
1572638362, 12, 4, 14200, 18, 110262, 37.48, 37.00
1572638379, 12, 4, 14200, 17, 725679, 37.48, 37.00
1572638398, 12, 4, 14200, 18, 24712, 37.48, 37.00
1572638415, 12, 4, 14200, 17, 717761, 37.00, 37.00
1572638433, 12, 4, 14200, 17, 900719, 37.48, 37.00
1572638452, 12, 4, 14200, 18, 200312, 37.48, 36.00
1572638469, 12, 4, 14200, 17, 627431, 36.02, 36.00
1572638487, 12, 4, 14200, 17, 585410, 38.46, 36.00
1572638505, 12, 4, 14200, 17, 872118, 37.97, 37.00
1572638523, 12, 4, 14200, 17, 578729, 37.48, 37.00
1572638540, 12, 4, 14200, 17, 762971, 37.48, 37.00
1572638558, 12, 4, 14200, 17, 473943, 38.46, 38.00
1572638576, 12, 4, 14200, 17, 921174, 37.97, 37.00
1572638594, 12, 4, 14200, 17, 990062, 37.97, 37.00
1572638612, 12, 4, 14200, 18, 314673, 38.95, 38.00
1572638630, 12, 4, 14200, 17, 686001, 37.00, 36.00
1572638648, 12, 4, 14200, 17, 720607, 38.46, 38.00
1572638666, 12, 4, 14200, 17, 674081, 38.46, 38.00
1572638684, 12, 4, 14200, 17, 727369, 38.46, 37.00
1572638701, 12, 4, 14200, 17, 619590, 39.43, 39.00
1572638719, 12, 4, 14200, 18, 74252, 37.00, 36.00
1572638737, 12, 4, 14200, 17, 345841, 38.46, 37.00
1572638755, 12, 4, 14200, 17, 788271, 36.51, 36.00
1572638773, 12, 4, 14200, 17, 801945, 38.46, 38.00
1572638790, 12, 4, 14200, 17, 477282, 38.46, 38.00
1572638808, 12, 4, 14200, 17, 777772, 37.48, 37.00
1572638826, 12, 4, 14200, 17, 852745, 37.97, 37.00
1572638844, 12, 4, 14200, 18, 318912, 37.48, 37.00
1572638862, 12, 4, 14200, 17, 919116, 37.97, 38.00
1572638880, 12, 4, 14200, 17, 558219, 38.46, 38.00
1572638898, 12, 4, 14200, 17, 535927, 37.97, 37.00
1572638915, 12, 4, 14200, 17, 546028, 37.97, 37.00
1572638933, 12, 4, 14200, 17, 495295, 38.46, 38.00
1572638951, 12, 4, 14200, 17, 624174, 37.48, 37.00
1572638968, 12, 4, 14200, 17, 653468, 38.46, 38.00
1572638986, 12, 4, 14200, 17, 712540, 38.46, 38.00
1572639004, 12, 4, 14200, 18, 71437, 38.95, 38.00
1572639022, 12, 4, 14200, 17, 947928, 37.97, 37.00
1572639040, 12, 4, 14200, 17, 917278, 38.46, 38.00
1572639059, 12, 4, 14200, 18, 173217, 38.46, 37.00
1572639076, 12, 4, 14200, 17, 530292, 38.46, 37.00
1572639094, 12, 4, 14200, 17, 433799, 38.46, 38.00
1572639111, 12, 4, 14200, 17, 490926, 38.46, 38.00
1572639128, 12, 4, 14200, 17, 52895, 37.48, 37.00
1572639146, 12, 4, 14200, 17, 781366, 38.46, 37.00
1572639165, 12, 4, 14200, 18, 479071, 37.97, 37.00
1572639183, 12, 4, 14200, 17, 865782, 38.46, 38.00
1572639201, 12, 4, 14200, 17, 589972, 38.95, 38.00
1572639218, 12, 4, 14200, 17, 494699, 39.43, 39.00
1572639236, 12, 4, 14200, 17, 703652, 38.95, 38.00
1572639254, 12, 4, 14200, 17, 973212, 38.95, 38.00
1572639272, 12, 4, 14200, 17, 785181, 39.43, 39.00
1572639289, 12, 4, 14200, 17, 544450, 37.97, 37.00
1572639307, 12, 4, 14200, 17, 734350, 38.46, 38.00
1572639325, 12, 4, 14200, 17, 755936, 37.97, 37.00
1572639343, 12, 4, 14200, 17, 551520, 37.97, 37.00
1572639360, 12, 4, 14200, 17, 337895, 38.95, 38.00
1572639378, 12, 4, 14200, 18, 69017, 38.95, 38.00
1572639396, 12, 4, 14200, 17, 434578, 41.38, 39.00
1572639413, 12, 4, 14200, 17, 434578, 37.97, 37.00
1572639431, 12, 4, 14200, 17, 442746, 39.43, 39.00
1572639449, 12, 4, 14200, 17, 913275, 39.43, 39.00
1572639467, 12, 4, 14200, 18, 112344, 38.95, 38.00
1572639485, 12, 4, 14200, 18, 198411, 39.43, 39.00
1572639504, 12, 4, 14200, 18, 810715, 38.95, 39.00
1572639522, 12, 4, 14200, 18, 2161, 39.92, 39.00
1572639540, 12, 4, 14200, 17, 354991, 38.95, 38.00
1572639558, 12, 4, 14200, 17, 774610, 38.95, 38.00
1572639575, 12, 4, 14200, 17, 348136, 39.43, 39.00
1572639594, 12, 4, 14200, 18, 644945, 39.43, 37.00
1572639612, 12, 4, 14200, 18, 166168, 38.95, 38.00
1572639630, 12, 4, 14200, 17, 797835, 38.95, 38.00
1572639648, 12, 4, 14200, 17, 763756, 39.43, 39.00
1572639666, 12, 4, 14200, 17, 655193, 38.95, 38.00
1572639683, 12, 4, 14200, 17, 624012, 40.41, 40.00
1572639701, 12, 4, 14200, 17, 755811, 39.43, 39.00
1572639719, 12, 4, 14200, 17, 708881, 39.92, 38.00
1572639737, 12, 4, 14200, 18, 325411, 38.95, 39.00
1572639755, 12, 4, 14200, 17, 230633, 40.89, 40.00
1572639773, 12, 4, 14200, 17, 796586, 39.92, 39.00
1572639791, 12, 4, 14200, 18, 49109, 40.41, 40.00
1572639809, 12, 4, 14200, 17, 735882, 39.43, 39.00
1572639827, 12, 4, 14200, 18, 275409, 39.92, 39.00
1572639845, 12, 4, 14200, 17, 693815, 38.95, 38.00
1572639862, 12, 4, 14200, 17, 387704, 39.43, 40.00
1572639880, 12, 4, 14200, 17, 614574, 39.43, 39.00
1572639898, 12, 4, 14200, 18, 247478, 38.95, 38.00
