time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1572564688, 12, 4, 14200, 18, 531408, 36.02, 35.00
1572564706, 12, 4, 14200, 17, 889071, 36.02, 35.00
1572564725, 12, 4, 14200, 18, 459725, 34.56, 34.00
1572564743, 12, 4, 14200, 18, 421996, 37.00, 36.00
1572564762, 12, 4, 14200, 18, 379590, 37.00, 36.00
1572564781, 12, 4, 14200, 18, 783349, 36.51, 36.00
1572564799, 12, 4, 14200, 18, 502489, 35.54, 35.00
1572564818, 12, 4, 14200, 18, 252609, 36.51, 36.00
1572564836, 12, 4, 14200, 18, 359889, 36.51, 36.00
1572564855, 12, 4, 14200, 18, 654496, 37.00, 35.00
1572564873, 12, 4, 14200, 18, 35921, 37.00, 36.00
1572564892, 12, 4, 14200, 18, 962405, 36.02, 35.00
1572564911, 12, 4, 14200, 18, 501445, 36.02, 35.00
1572564929, 12, 4, 14200, 18, 782457, 35.54, 35.00
1572564948, 12, 4, 14200, 18, 212259, 35.54, 35.00
1572564966, 12, 4, 14200, 18, 252918, 35.54, 35.00
1572564984, 12, 4, 14200, 18, 225, 36.51, 36.00
1572565002, 12, 4, 14200, 17, 901794, 37.00, 36.00
1572565020, 12, 4, 14200, 17, 982726, 36.02, 36.00
1572565039, 12, 4, 14200, 18, 426173, 36.02, 35.00
1572565057, 12, 4, 14200, 17, 976058, 36.02, 35.00
1572565075, 12, 4, 14200, 18, 335373, 37.48, 36.00
1572565093, 12, 4, 14200, 17, 760353, 36.02, 35.00
1572565111, 12, 4, 14200, 18, 86584, 36.02, 35.00
1572565129, 12, 4, 14200, 18, 133896, 35.54, 35.00
1572565147, 12, 4, 14200, 17, 967973, 36.02, 35.00
1572565166, 12, 4, 14200, 18, 293759, 37.00, 35.00
1572565184, 12, 4, 14200, 17, 963606, 36.02, 35.00
1572565202, 12, 4, 14200, 18, 334124, 36.02, 35.00
1572565220, 12, 4, 14200, 18, 34782, 34.56, 35.00
1572565238, 12, 4, 14200, 17, 741984, 36.02, 35.00
1572565257, 12, 4, 14200, 18, 447146, 35.05, 35.00
1572565275, 12, 4, 14200, 18, 231175, 35.54, 35.00
1572565294, 12, 4, 14200, 18, 271515, 37.97, 37.00
1572565312, 12, 4, 14200, 18, 49413, 35.05, 35.00
1572565330, 12, 4, 14200, 17, 991020, 35.05, 35.00
1572565348, 12, 4, 14200, 18, 352251, 35.54, 35.00
1572565367, 12, 4, 14200, 18, 379819, 36.02, 35.00
1572565385, 12, 4, 14200, 18, 433444, 35.05, 35.00
1572565403, 12, 4, 14200, 17, 918397, 36.02, 35.00
1572565422, 12, 4, 14200, 18, 404939, 35.05, 35.00
1572565440, 12, 4, 14200, 17, 956628, 36.02, 35.00
1572565459, 12, 4, 14200, 18, 850507, 35.05, 35.00
1572565478, 12, 4, 14200, 19, 22802, 35.54, 35.00
1572565496, 12, 4, 14200, 18, 462030, 35.54, 35.00
1572565516, 12, 4, 14200, 19, 217406, 34.56, 34.00
1572565535, 12, 4, 14200, 19, 390811, 35.05, 35.00
1572565554, 12, 4, 14200, 18, 351808, 36.02, 35.00
1572565572, 12, 4, 14200, 17, 883343, 36.51, 36.00
1572565590, 12, 4, 14200, 18, 67947, 36.02, 35.00
1572565608, 12, 4, 14200, 18, 8430, 36.51, 36.00
1572565626, 12, 4, 14200, 18, 243144, 36.02, 35.00
