time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1572557022, 12, 4, 14200, 18, 264194, 32.13, 32.00
1572557040, 12, 4, 14200, 17, 735627, 32.13, 32.00
1572557058, 12, 4, 14200, 18, 44044, 33.59, 33.00
1572557077, 12, 4, 14200, 18, 314908, 33.59, 33.00
1572557095, 12, 4, 14200, 18, 155086, 34.56, 33.00
1572557113, 12, 4, 14200, 17, 648245, 35.05, 35.00
1572557130, 12, 4, 14200, 17, 729105, 34.56, 35.00
1572557149, 12, 4, 14200, 18, 148890, 33.59, 33.00
1572557167, 12, 4, 14200, 18, 24257, 36.51, 36.00
1572557185, 12, 4, 14200, 18, 182479, 34.56, 34.00
1572557203, 12, 4, 14200, 18, 63926, 35.05, 35.00
1572557221, 12, 4, 14200, 18, 8158, 35.05, 35.00
1572557240, 12, 4, 14200, 18, 316537, 36.51, 36.00
1572557258, 12, 4, 14200, 18, 381085, 36.02, 35.00
1572557276, 12, 4, 14200, 17, 833780, 37.00, 36.00
1572557294, 12, 4, 14200, 17, 658241, 36.51, 36.00
1572557311, 12, 4, 14200, 17, 541978, 37.00, 36.00
1572557330, 12, 4, 14200, 18, 90951, 37.00, 36.00
1572557349, 12, 4, 14200, 19, 101353, 35.54, 36.00
1572557367, 12, 4, 14200, 17, 821805, 37.00, 36.00
1572557385, 12, 4, 14200, 18, 30384, 37.48, 37.00
1572557402, 12, 4, 14200, 17, 476455, 36.51, 36.00
1572557420, 12, 4, 14200, 17, 519102, 37.48, 37.00
1572557438, 12, 4, 14200, 18, 111084, 37.48, 37.00
1572557456, 12, 4, 14200, 18, 187177, 37.00, 37.00
1572557474, 12, 4, 14200, 17, 566826, 37.00, 37.00
1572557492, 12, 4, 14200, 18, 19361, 37.48, 37.00
1572557510, 12, 4, 14200, 17, 573703, 37.48, 37.00
1572557528, 12, 4, 14200, 17, 826208, 36.51, 36.00
1572557546, 12, 4, 14200, 18, 462347, 37.48, 37.00
1572557564, 12, 4, 14200, 18, 138313, 37.00, 37.00
1572557582, 12, 4, 14200, 17, 591831, 37.48, 37.00
1572557600, 12, 4, 14200, 17, 781991, 36.51, 36.00
1572557618, 12, 4, 14200, 18, 292504, 38.46, 38.00
1572557637, 12, 4, 14200, 18, 252403, 37.97, 37.00
1572557654, 12, 4, 14200, 17, 656645, 37.97, 38.00
1572557672, 12, 4, 14200, 18, 2113, 37.48, 37.00
1572557690, 12, 4, 14200, 17, 607653, 37.48, 37.00
1572557708, 12, 4, 14200, 17, 676828, 37.97, 37.00
1572557726, 12, 4, 14200, 17, 936752, 37.97, 37.00
1572557744, 12, 4, 14200, 17, 543471, 37.97, 37.00
1572557762, 12, 4, 14200, 18, 15694, 38.95, 38.00
1572557780, 12, 4, 14200, 18, 614033, 37.48, 37.00
1572557799, 12, 4, 14200, 18, 192499, 37.48, 37.00
1572557817, 12, 4, 14200, 18, 561042, 37.48, 37.00
1572557836, 12, 4, 14200, 18, 403175, 36.51, 36.00
1572557855, 12, 4, 14200, 18, 742012, 37.00, 36.00
1572557873, 12, 4, 14200, 18, 422706, 37.48, 37.00
1572557891, 12, 4, 14200, 18, 106310, 37.97, 37.00
1572557909, 12, 4, 14200, 17, 759071, 37.97, 37.00
1572557927, 12, 4, 14200, 18, 52537, 37.97, 38.00
1572557946, 12, 4, 14200, 18, 270750, 37.97, 37.00
1572557964, 12, 4, 14200, 18, 8737, 38.95, 38.00
1572557981, 12, 4, 14200, 17, 521785, 37.97, 37.00
1572557999, 12, 4, 14200, 17, 772676, 37.97, 37.00
1572558017, 12, 4, 14200, 18, 150887, 37.48, 37.00
1572558035, 12, 4, 14200, 17, 455398, 38.95, 38.00
1572558053, 12, 4, 14200, 17, 884424, 38.46, 37.00
1572558071, 12, 4, 14200, 17, 934092, 37.97, 37.00
1572558089, 12, 4, 14200, 17, 930892, 38.46, 38.00
1572558107, 12, 4, 14200, 18, 65939, 37.97, 37.00
1572558125, 12, 4, 14200, 17, 736138, 37.48, 37.00
1572558143, 12, 4, 14200, 17, 706703, 38.95, 38.00
1572558161, 12, 4, 14200, 17, 881066, 38.46, 38.00
1572558179, 12, 4, 14200, 17, 733507, 38.46, 38.00
1572558197, 12, 4, 14200, 18, 256793, 37.97, 37.00
1572558215, 12, 4, 14200, 17, 881870, 38.46, 37.00
1572558232, 12, 4, 14200, 17, 381737, 38.46, 38.00
1572558251, 12, 4, 14200, 18, 701756, 38.95, 38.00
1572558269, 12, 4, 14200, 17, 710962, 37.97, 37.00
1572558288, 12, 4, 14200, 18, 644608, 38.46, 38.00
1572558305, 12, 4, 14200, 17, 615435, 39.43, 39.00
1572558323, 12, 4, 14200, 17, 938824, 38.46, 37.00
1572558341, 12, 4, 14200, 17, 595075, 38.95, 38.00
1572558360, 12, 4, 14200, 18, 732133, 37.97, 37.00
1572558378, 12, 4, 14200, 18, 27241, 38.95, 38.00
1572558396, 12, 4, 14200, 17, 713761, 39.92, 39.00
1572558413, 12, 4, 14200, 17, 512998, 38.46, 38.00
1572558431, 12, 4, 14200, 18, 108253, 38.95, 38.00
1572558449, 12, 4, 14200, 17, 892784, 38.46, 38.00
1572558467, 12, 4, 14200, 17, 810507, 38.46, 38.00
1572558485, 12, 4, 14200, 17, 731033, 38.46, 38.00
