time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1572198411, 12, 4, 14200, 18, 432436, 37.48, 37.00
1572198430, 12, 4, 14200, 18, 510246, 38.46, 38.00
1572198448, 12, 4, 14200, 18, 202890, 38.95, 38.00
1572198466, 12, 4, 14200, 18, 423902, 39.43, 39.00
1572198484, 12, 4, 14200, 17, 807220, 42.35, 42.00
1572198502, 12, 4, 14200, 18, 86084, 42.35, 42.00
1572198520, 12, 4, 14200, 18, 42407, 43.82, 43.00
1572198539, 12, 4, 14200, 18, 85743, 45.28, 43.00
1572198557, 12, 4, 14200, 18, 122365, 45.28, 44.00
1572198576, 12, 4, 14200, 18, 656457, 45.76, 45.00
1572198594, 12, 4, 14200, 18, 208846, 46.74, 46.00
1572198612, 12, 4, 14200, 18, 116038, 48.20, 48.00
1572198630, 12, 4, 14200, 18, 390315, 48.20, 48.00
1572198648, 12, 4, 14200, 17, 793245, 49.17, 49.00
1572198667, 12, 4, 14200, 18, 942755, 48.20, 48.00
1572198685, 12, 4, 14200, 17, 896940, 50.15, 50.00
1572198704, 12, 4, 14200, 18, 131539, 51.12, 50.00
1572198723, 12, 4, 14200, 19, 108942, 50.63, 50.00
1572198741, 12, 4, 14200, 17, 961058, 50.15, 50.00
1572198759, 12, 4, 14200, 18, 422946, 51.12, 51.00
1572198777, 12, 4, 14200, 18, 53404, 52.58, 52.00
1572198796, 12, 4, 14200, 18, 216521, 52.09, 53.00
1572198814, 12, 4, 14200, 18, 484281, 52.58, 52.00
1572198832, 12, 4, 14200, 17, 853020, 53.07, 53.00
1572198850, 12, 4, 14200, 17, 578233, 53.07, 53.00
1572198868, 12, 4, 14200, 18, 6849, 54.53, 53.00
1572198886, 12, 4, 14200, 18, 43928, 54.53, 54.00
1572198904, 12, 4, 14200, 18, 71722, 54.04, 54.00
1572198923, 12, 4, 14200, 18, 219768, 54.04, 54.00
1572198941, 12, 4, 14200, 18, 784450, 54.53, 54.00
1572198960, 12, 4, 14200, 18, 81265, 55.50, 55.00
1572198978, 12, 4, 14200, 18, 116492, 56.97, 55.00
1572198996, 12, 4, 14200, 17, 866897, 56.48, 56.00
1572199014, 12, 4, 14200, 17, 801439, 55.50, 56.00
1572199032, 12, 4, 14200, 18, 1358, 57.45, 57.00
1572199049, 12, 4, 14200, 17, 724396, 56.97, 56.00
1572199068, 12, 4, 14200, 18, 535266, 55.99, 55.00
1572199087, 12, 4, 14200, 18, 593347, 56.48, 56.00
1572199105, 12, 4, 14200, 17, 876972, 56.97, 57.00
1572199123, 12, 4, 14200, 17, 943327, 56.97, 56.00
1572199141, 12, 4, 14200, 17, 904108, 58.43, 57.00
1572199159, 12, 4, 14200, 18, 1484, 56.97, 56.00
1572199176, 12, 4, 14200, 17, 649231, 58.91, 58.00
1572199194, 12, 4, 14200, 17, 719559, 58.91, 58.00
1572199212, 12, 4, 14200, 18, 121535, 57.45, 58.00
1572199231, 12, 4, 14200, 18, 237016, 57.45, 57.00
1572199249, 12, 4, 14200, 18, 463081, 57.45, 57.00
1572199267, 12, 4, 14200, 17, 551490, 57.94, 57.00
1572199286, 12, 4, 14200, 18, 519150, 56.97, 56.00
1572199304, 12, 4, 14200, 18, 166914, 58.43, 58.00
1572199322, 12, 4, 14200, 18, 236856, 58.43, 57.00
