time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1566160128, 12, 1, 14200, 66, 943882, 61.84, 61.00
1566160197, 12, 1, 14200, 68, 964935, 63.78, 63.00
1566160263, 12, 1, 14200, 66, 262455, 64.27, 64.00
1566160330, 12, 1, 14200, 66, 700631, 64.76, 64.00
1566160396, 12, 1, 14200, 66, 150964, 64.76, 64.00
1566160463, 12, 1, 14200, 66, 430334, 65.24, 65.00
1566160530, 12, 1, 14200, 66, 752515, 65.24, 65.00
1566160595, 12, 1, 14200, 65, 745693, 66.22, 65.00
1566160663, 12, 1, 14200, 67, 511631, 65.73, 65.00
1566160729, 12, 1, 14200, 66, 323945, 65.73, 65.00
1566160798, 12, 1, 14200, 68, 668635, 66.22, 66.00
1566160866, 12, 1, 14200, 67, 852209, 66.22, 66.00
1566160933, 12, 1, 14200, 66, 810192, 65.73, 65.00
1566160999, 12, 1, 14200, 65, 827078, 66.22, 66.00
1566161065, 12, 1, 14200, 66, 46496, 65.73, 65.00
1566161131, 12, 1, 14200, 66, 153676, 66.22, 66.00
1566161199, 12, 1, 14200, 67, 271516, 66.22, 66.00
1566161265, 12, 1, 14200, 66, 730563, 65.24, 65.00
1566161333, 12, 1, 14200, 67, 607261, 66.22, 66.00
1566161401, 12, 1, 14200, 67, 881569, 67.19, 67.00
1566161468, 12, 1, 14200, 66, 510394, 65.24, 66.00
1566161536, 12, 1, 14200, 68, 242323, 66.70, 66.00
1566161602, 12, 1, 14200, 66, 399044, 66.22, 66.00
1566161669, 12, 1, 14200, 66, 241668, 66.22, 66.00
1566161736, 12, 1, 14200, 66, 870804, 66.70, 66.00
1566161802, 12, 1, 14200, 65, 868194, 66.22, 66.00
1566161869, 12, 1, 14200, 67, 417442, 66.22, 66.00
1566161934, 12, 1, 14200, 65, 173948, 66.22, 66.00
1566162002, 12, 1, 14200, 67, 630662, 65.24, 65.00
1566162068, 12, 1, 14200, 66, 194494, 65.24, 66.00
1566162135, 12, 1, 14200, 66, 456780, 66.70, 66.00
1566162201, 12, 1, 14200, 65, 592260, 65.24, 65.00
1566162268, 12, 1, 14200, 67, 312726, 65.24, 65.00
1566162335, 12, 1, 14200, 67, 318986, 65.24, 65.00
1566162403, 12, 1, 14200, 68, 40526, 65.24, 65.00
1566162469, 12, 1, 14200, 65, 833744, 65.73, 65.00
1566162537, 12, 1, 14200, 67, 270894, 65.73, 65.00
1566162603, 12, 1, 14200, 66, 501180, 65.24, 65.00
1566162669, 12, 1, 14200, 65, 600532, 65.73, 65.00
1566162735, 12, 1, 14200, 66, 235525, 66.22, 66.00
1566162802, 12, 1, 14200, 66, 651845, 65.73, 65.00
1566162868, 12, 1, 14200, 65, 562763, 67.19, 67.00
1566162934, 12, 1, 14200, 65, 936199, 66.70, 66.00
1566163000, 12, 1, 14200, 66, 480502, 65.73, 65.00
1566163067, 12, 1, 14200, 66, 312677, 65.24, 65.00
