time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1572201567, 12, 1, 14200, 71, 604344, 37.48, 36.00
1572201636, 12, 1, 14200, 69, 607349, 36.51, 36.00
1572201706, 12, 1, 14200, 69, 314804, 37.00, 35.00
1572201774, 12, 1, 14200, 68, 133, 36.02, 35.00
1572201843, 12, 1, 14200, 69, 29399, 36.02, 35.00
1572201912, 12, 1, 14200, 68, 412603, 36.51, 36.00
1572201980, 12, 1, 14200, 68, 584506, 36.51, 36.00
1572202049, 12, 1, 14200, 69, 21370, 36.51, 36.00
1572202118, 12, 1, 14200, 68, 365562, 34.56, 34.00
1572202186, 12, 1, 14200, 68, 462528, 35.54, 35.00
1572202257, 12, 1, 14200, 71, 125350, 36.51, 36.00
1572202326, 12, 1, 14200, 68, 560514, 35.54, 36.00
1572202397, 12, 1, 14200, 71, 141421, 35.05, 35.00
1572202467, 12, 1, 14200, 69, 518342, 36.02, 35.00
1572202536, 12, 1, 14200, 68, 837586, 36.02, 36.00
1572202604, 12, 1, 14200, 68, 612433, 35.05, 35.00
1572202673, 12, 1, 14200, 68, 495018, 35.54, 35.00
1572202744, 12, 1, 14200, 70, 409540, 35.54, 35.00
1572202815, 12, 1, 14200, 71, 156792, 35.05, 35.00
1572202884, 12, 1, 14200, 69, 379907, 36.02, 35.00
1572202955, 12, 1, 14200, 70, 738159, 35.05, 35.00
1572203024, 12, 1, 14200, 69, 118094, 35.05, 35.00
1572203095, 12, 1, 14200, 70, 502738, 34.56, 35.00
1572203164, 12, 1, 14200, 69, 285269, 35.05, 35.00
1572203233, 12, 1, 14200, 68, 669320, 34.56, 34.00
1572203302, 12, 1, 14200, 69, 82457, 35.05, 35.00
1572203370, 12, 1, 14200, 67, 859574, 34.56, 34.00
1572203439, 12, 1, 14200, 68, 878564, 34.08, 34.00
1572203507, 12, 1, 14200, 68, 636307, 34.08, 34.00
1572203577, 12, 1, 14200, 69, 420086, 36.02, 35.00
1572203645, 12, 1, 14200, 68, 448277, 35.05, 35.00
1572203714, 12, 1, 14200, 68, 678987, 35.05, 35.00
1572203782, 12, 1, 14200, 68, 239413, 35.54, 35.00
1572203853, 12, 1, 14200, 70, 799564, 35.54, 35.00
1572203923, 12, 1, 14200, 69, 183901, 35.54, 35.00
1572203992, 12, 1, 14200, 69, 112390, 34.56, 35.00
1572204060, 12, 1, 14200, 68, 338368, 34.56, 35.00
1572204129, 12, 1, 14200, 68, 619762, 34.56, 34.00
1572204199, 12, 1, 14200, 70, 106434, 35.54, 35.00
1572204268, 12, 1, 14200, 68, 637093, 35.05, 35.00
1572204337, 12, 1, 14200, 68, 720709, 35.05, 35.00
1572204406, 12, 1, 14200, 69, 421719, 35.54, 35.00
1572204474, 12, 1, 14200, 67, 959607, 35.05, 35.00
1572204543, 12, 1, 14200, 68, 520485, 35.05, 35.00
1572204612, 12, 1, 14200, 69, 148456, 35.54, 35.00
1572204681, 12, 1, 14200, 68, 562765, 35.05, 35.00
1572204749, 12, 1, 14200, 67, 934587, 35.05, 35.00
1572204821, 12, 1, 14200, 72, 553872, 34.56, 34.00
1572204891, 12, 1, 14200, 69, 350062, 34.56, 34.00
1572204960, 12, 1, 14200, 68, 940364, 35.05, 35.00
