time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1572205257, 12, 1, 14200, 68, 2942, 36.51, 36.00
1572205327, 12, 1, 14200, 69, 815676, 37.48, 37.00
1572205396, 12, 1, 14200, 69, 205234, 40.41, 40.00
1572205463, 12, 1, 14200, 67, 167699, 42.35, 42.00
1572205531, 12, 1, 14200, 68, 168157, 42.35, 42.00
1572205599, 12, 1, 14200, 67, 925536, 44.30, 44.00
1572205667, 12, 1, 14200, 67, 294804, 44.79, 44.00
1572205736, 12, 1, 14200, 68, 951222, 45.28, 45.00
1572205802, 12, 1, 14200, 66, 239089, 46.25, 44.00
1572205868, 12, 1, 14200, 66, 141963, 45.76, 45.00
1572205933, 12, 1, 14200, 65, 36427, 46.25, 46.00
1572206001, 12, 1, 14200, 67, 977068, 47.71, 47.00
1572206068, 12, 1, 14200, 66, 858027, 46.25, 47.00
1572206137, 12, 1, 14200, 69, 122633, 46.74, 46.00
1572206205, 12, 1, 14200, 66, 922517, 47.71, 46.00
1572206271, 12, 1, 14200, 66, 56023, 46.74, 46.00
1572206337, 12, 1, 14200, 66, 764564, 46.25, 46.00
1572206404, 12, 1, 14200, 66, 369146, 47.23, 47.00
1572206472, 12, 1, 14200, 67, 601656, 46.74, 47.00
1572206539, 12, 1, 14200, 66, 967382, 47.23, 47.00
1572206606, 12, 1, 14200, 67, 345327, 47.23, 47.00
1572206672, 12, 1, 14200, 66, 42938, 47.23, 47.00
1572206739, 12, 1, 14200, 66, 875105, 48.20, 47.00
1572206810, 12, 1, 14200, 71, 109354, 48.20, 48.00
1572206876, 12, 1, 14200, 65, 531355, 47.71, 47.00
1572206943, 12, 1, 14200, 66, 943245, 47.71, 47.00
1572207009, 12, 1, 14200, 66, 81869, 46.74, 46.00
1572207075, 12, 1, 14200, 65, 886265, 47.71, 48.00
1572207140, 12, 1, 14200, 65, 255562, 49.17, 48.00
1572207205, 12, 1, 14200, 64, 698710, 47.23, 48.00
1572207271, 12, 1, 14200, 65, 596229, 48.20, 48.00
1572207337, 12, 1, 14200, 65, 863116, 47.71, 47.00
1572207404, 12, 1, 14200, 67, 339677, 47.71, 48.00
1572207473, 12, 1, 14200, 68, 714496, 47.23, 47.00
1572207540, 12, 1, 14200, 67, 433702, 47.23, 47.00
1572207608, 12, 1, 14200, 67, 286017, 48.20, 47.00
1572207676, 12, 1, 14200, 67, 670205, 46.74, 48.00
1572207744, 12, 1, 14200, 68, 283195, 48.69, 48.00
1572207811, 12, 1, 14200, 66, 703267, 47.71, 47.00
1572207879, 12, 1, 14200, 67, 873241, 49.17, 49.00
1572207945, 12, 1, 14200, 66, 180739, 48.20, 48.00
1572208011, 12, 1, 14200, 65, 837184, 47.23, 47.00
1572208077, 12, 1, 14200, 65, 974673, 48.20, 48.00
1572208143, 12, 1, 14200, 66, 349105, 48.69, 48.00
1572208209, 12, 1, 14200, 65, 985790, 48.69, 48.00
1572208277, 12, 1, 14200, 68, 183683, 48.69, 48.00
1572208345, 12, 1, 14200, 67, 695990, 47.71, 47.00
1572208412, 12, 1, 14200, 66, 864396, 47.71, 47.00
1572208479, 12, 1, 14200, 66, 961689, 48.69, 48.00
1572208549, 12, 1, 14200, 69, 984094, 48.20, 48.00
