time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1522506615, 12, 4, 14200, 63, 370216, 54.77, 55.30
1522506679, 12, 4, 14200, 63, 719908, 60.15, 59.60
1522506744, 12, 4, 14200, 65, 770740, 61.76, 62.30
1522506809, 12, 4, 14200, 64, 700324, 63.38, 63.90
1522506873, 12, 4, 14200, 63, 794178, 66.60, 66.60
1522506940, 12, 4, 14200, 66, 393396, 66.07, 65.50
1522507007, 12, 4, 14200, 67, 472829, 66.60, 66.60
1522507076, 12, 4, 14200, 68, 429666, 66.60, 66.60
1522507146, 12, 4, 14200, 69, 756280, 66.60, 66.60
1522507215, 12, 4, 14200, 69, 83546, 67.14, 66.60
1522507286, 12, 4, 14200, 70, 598799, 66.07, 66.60
1522507354, 12, 4, 14200, 68, 54886, 67.68, 67.70
1522507422, 12, 4, 14200, 67, 732446, 68.76, 68.20
1522507492, 12, 4, 14200, 70, 252348, 66.60, 67.10
1522507560, 12, 4, 14200, 67, 690723, 67.68, 67.70
1522507628, 12, 4, 14200, 68, 58906, 67.68, 67.70
1522507700, 12, 4, 14200, 71, 495791, 66.07, 66.60
1522507769, 12, 4, 14200, 68, 982125, 66.60, 67.10
1522507839, 12, 4, 14200, 70, 113853, 66.60, 67.10
1522507909, 12, 4, 14200, 69, 868251, 67.14, 66.60
1522507978, 12, 4, 14200, 68, 367307, 67.68, 67.10
1522508049, 12, 4, 14200, 70, 947604, 67.14, 66.60
1522508120, 12, 4, 14200, 70, 615275, 66.60, 67.10
1522508189, 12, 4, 14200, 68, 896966, 68.76, 68.80
1522508260, 12, 4, 14200, 71, 371798, 66.60, 67.70
1522508331, 12, 4, 14200, 70, 629822, 66.60, 66.60
1522508399, 12, 4, 14200, 67, 997543, 67.14, 67.70
1522508470, 12, 4, 14200, 70, 373713, 67.14, 66.60
1522508541, 12, 4, 14200, 71, 411098, 66.60, 66.60
1522508610, 12, 4, 14200, 68, 749570, 67.14, 67.70
1522508680, 12, 4, 14200, 69, 177398, 67.68, 68.20
1522508749, 12, 4, 14200, 69, 26231, 67.68, 67.70
1522508821, 12, 4, 14200, 71, 872946, 66.60, 66.60
1522508890, 12, 4, 14200, 68, 929679, 67.68, 66.60
1522508960, 12, 4, 14200, 70, 166817, 66.60, 66.60
1522509030, 12, 4, 14200, 69, 476018, 67.68, 67.70
1522509101, 12, 4, 14200, 71, 171741, 67.14, 66.60
1522509171, 12, 4, 14200, 69, 698074, 67.14, 67.10
1522509241, 12, 4, 14200, 69, 713161, 67.68, 67.70
1522509312, 12, 4, 14200, 71, 612934, 66.60, 67.10
1522509381, 12, 4, 14200, 68, 739554, 67.68, 67.70
1522509451, 12, 4, 14200, 69, 865363, 68.22, 67.70
1522509522, 12, 4, 14200, 70, 315419, 67.68, 67.70
1522509592, 12, 4, 14200, 70, 115092, 66.60, 66.60
1522509661, 12, 4, 14200, 69, 185503, 67.68, 67.70
1522509731, 12, 4, 14200, 69, 884675, 67.68, 68.20
1522509801, 12, 4, 14200, 69, 328998, 68.76, 68.80
1522509870, 12, 4, 14200, 68, 841589, 67.68, 67.70
1522509939, 12, 4, 14200, 69, 400570, 67.68, 67.70
