time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1522532687, 12, 4, 14200, 67, 948702, 59.07, 59.60
1522532756, 12, 4, 14200, 69, 153227, 64.99, 65.00
1522532826, 12, 4, 14200, 70, 76233, 66.60, 66.60
1522532899, 12, 4, 14200, 72, 605186, 67.68, 67.70
1522532976, 12, 4, 14200, 76, 251274, 67.68, 67.10
1522533052, 12, 4, 14200, 75, 949263, 68.76, 68.80
1522533130, 12, 4, 14200, 78, 109885, 68.76, 68.80
1522533206, 12, 4, 14200, 76, 299858, 67.68, 68.80
1522533285, 12, 4, 14200, 78, 183804, 68.76, 68.80
1522533365, 12, 4, 14200, 79, 968313, 69.83, 68.80
1522533443, 12, 4, 14200, 78, 40619, 69.29, 68.80
1522533524, 12, 4, 14200, 80, 724210, 67.68, 68.80
1522533604, 12, 4, 14200, 79, 483955, 68.76, 68.80
1522533684, 12, 4, 14200, 80, 47275, 68.76, 69.30
1522533766, 12, 4, 14200, 82, 87149, 68.76, 68.80
1522533846, 12, 4, 14200, 80, 351825, 68.76, 68.80
1522533926, 12, 4, 14200, 79, 756760, 68.76, 68.80
1522534007, 12, 4, 14200, 80, 178726, 69.29, 69.30
1522534087, 12, 4, 14200, 80, 374802, 68.76, 68.80
1522534167, 12, 4, 14200, 80, 15976, 69.29, 69.30
1522534250, 12, 4, 14200, 82, 377976, 70.37, 70.90
1522534333, 12, 4, 14200, 82, 769832, 69.29, 68.80
1522534415, 12, 4, 14200, 82, 496382, 68.76, 69.30
1522534496, 12, 4, 14200, 80, 507687, 69.83, 69.80
1522534578, 12, 4, 14200, 81, 518653, 68.76, 69.30
1522534657, 12, 4, 14200, 79, 675585, 69.83, 69.80
1522534738, 12, 4, 14200, 80, 394899, 69.29, 68.80
1522534818, 12, 4, 14200, 79, 687117, 69.29, 69.30
1522534897, 12, 4, 14200, 79, 420948, 69.29, 69.30
1522534978, 12, 4, 14200, 80, 450738, 69.83, 69.80
1522535058, 12, 4, 14200, 79, 835265, 69.29, 69.80
1522535138, 12, 4, 14200, 79, 808716, 68.76, 69.30
1522535217, 12, 4, 14200, 79, 368667, 69.83, 69.80
1522535296, 12, 4, 14200, 78, 498858, 69.29, 69.30
1522535376, 12, 4, 14200, 79, 898788, 69.29, 68.80
1522535456, 12, 4, 14200, 79, 881009, 69.29, 69.80
1522535535, 12, 4, 14200, 79, 188104, 69.83, 69.30
1522535617, 12, 4, 14200, 80, 967735, 69.83, 69.30
1522535697, 12, 4, 14200, 80, 14045, 69.83, 69.30
1522535777, 12, 4, 14200, 80, 404609, 69.29, 69.30
1522535857, 12, 4, 14200, 79, 635771, 69.83, 69.80
1522535937, 12, 4, 14200, 79, 350954, 69.83, 69.80
1522536017, 12, 4, 14200, 79, 986047, 68.76, 68.80
1522536098, 12, 4, 14200, 81, 55288, 68.76, 68.80
1522536179, 12, 4, 14200, 80, 789942, 69.83, 69.30
1522536260, 12, 4, 14200, 81, 272813, 69.29, 69.30
1522536340, 12, 4, 14200, 79, 417710, 69.29, 68.80
1522536420, 12, 4, 14200, 80, 247189, 69.83, 69.80
1522536503, 12, 4, 14200, 82, 909629, 68.76, 68.80
1522536585, 12, 4, 14200, 81, 467975, 69.29, 69.30
1522536665, 12, 4, 14200, 80, 125023, 69.83, 69.80
1522536747, 12, 4, 14200, 81, 158776, 68.76, 69.30
1522536829, 12, 4, 14200, 81, 833831, 69.29, 68.80
1522536909, 12, 4, 14200, 80, 759499, 69.29, 69.80
1522536991, 12, 4, 14200, 81, 327660, 69.83, 68.80
1522537071, 12, 4, 14200, 80, 423305, 69.29, 69.80
1522537152, 12, 4, 14200, 80, 86525, 69.29, 68.80
1522537233, 12, 4, 14200, 81, 544629, 69.29, 69.30
1522537315, 12, 4, 14200, 81, 733407, 68.76, 68.80
1522537396, 12, 4, 14200, 80, 689687, 68.76, 69.30
1522537478, 12, 4, 14200, 81, 785333, 68.76, 68.80
1522537559, 12, 4, 14200, 80, 694260, 68.76, 69.30
1522537638, 12, 4, 14200, 79, 326804, 69.29, 69.30
1522537719, 12, 4, 14200, 80, 142337, 69.29, 69.80
1522537800, 12, 4, 14200, 81, 204772, 68.76, 69.30
1522537880, 12, 4, 14200, 80, 42055, 69.29, 69.80
1522537962, 12, 4, 14200, 81, 173082, 68.76, 69.30
1522538042, 12, 4, 14200, 80, 734606, 69.29, 69.30
1522538124, 12, 4, 14200, 81, 310752, 68.76, 68.80
1522538205, 12, 4, 14200, 80, 718337, 69.29, 69.30
1522538285, 12, 4, 14200, 79, 931337, 69.83, 69.80
1522538365, 12, 4, 14200, 80, 196402, 69.83, 69.80
1522538446, 12, 4, 14200, 80, 630798, 69.29, 69.80
1522538527, 12, 4, 14200, 80, 746370, 69.83, 69.30
1522538608, 12, 4, 14200, 80, 966842, 68.22, 68.80
1522538689, 12, 4, 14200, 80, 547898, 69.29, 69.30
1522538770, 12, 4, 14200, 81, 496837, 69.83, 69.30
1522538851, 12, 4, 14200, 80, 545098, 69.29, 69.30
1522538932, 12, 4, 14200, 80, 809119, 69.29, 69.30
1522539012, 12, 4, 14200, 80, 88060, 69.29, 69.80
1522539094, 12, 4, 14200, 81, 708400, 68.76, 69.30
1522539173, 12, 4, 14200, 79, 82210, 70.91, 69.80
1522539255, 12, 4, 14200, 82, 2792, 69.29, 69.80
1522539336, 12, 4, 14200, 80, 199735, 69.83, 69.30
1522539415, 12, 4, 14200, 79, 529711, 69.83, 70.40
1522539497, 12, 4, 14200, 81, 778758, 68.76, 68.80
1522539578, 12, 4, 14200, 80, 473622, 69.83, 68.80
1522539658, 12, 4, 14200, 79, 962057, 69.83, 69.80
1522539741, 12, 4, 14200, 82, 447140, 68.76, 68.80
1522539820, 12, 4, 14200, 78, 840955, 68.76, 69.30
1522539900, 12, 4, 14200, 80, 798975, 69.83, 69.80
1522539981, 12, 4, 14200, 80, 221123, 69.29, 69.30
1522540060, 12, 4, 14200, 78, 697108, 68.76, 68.80
1522540140, 12, 4, 14200, 80, 68049, 69.29, 69.80
1522540221, 12, 4, 14200, 80, 801442, 69.29, 69.30
1522540302, 12, 4, 14200, 81, 128127, 69.29, 69.30
1522540383, 12, 4, 14200, 80, 843640, 70.37, 69.80
1522540465, 12, 4, 14200, 81, 316871, 68.76, 69.80
1522540545, 12, 4, 14200, 80, 115576, 69.83, 69.30
1522540627, 12, 4, 14200, 81, 899134, 69.83, 69.80
