time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1522520299, 12, 1, 14200, 232, 619049, 50.46, 51.50
1522520533, 12, 1, 14200, 234, 76534, 51.54, 51.50
1522520771, 12, 1, 14200, 237, 673317, 52.62, 52.60
1522521009, 12, 1, 14200, 238, 597597, 53.15, 52.60
1522521244, 12, 1, 14200, 233, 980894, 53.15, 53.70
1522521485, 12, 1, 14200, 241, 195970, 53.69, 53.70
1522521718, 12, 1, 14200, 232, 939149, 53.69, 53.70
1522521952, 12, 1, 14200, 234, 218029, 53.69, 53.70
1522522189, 12, 1, 14200, 236, 799453, 53.15, 53.70
1522522424, 12, 1, 14200, 234, 426336, 53.69, 53.70
1522522656, 12, 1, 14200, 231, 956726, 53.69, 54.20
1522522894, 12, 1, 14200, 238, 538538, 53.69, 53.70
1522523131, 12, 1, 14200, 236, 124892, 53.69, 53.70
1522523370, 12, 1, 14200, 239, 12791, 53.69, 53.70
1522523611, 12, 1, 14200, 241, 576185, 53.69, 53.70
1522523847, 12, 1, 14200, 235, 3662, 52.62, 53.70
1522524081, 12, 1, 14200, 234, 39074, 53.69, 54.20
1522524322, 12, 1, 14200, 241, 475444, 53.69, 53.20
1522524558, 12, 1, 14200, 235, 189724, 53.69, 53.70
1522524795, 12, 1, 14200, 237, 292536, 53.69, 53.70
1522525031, 12, 1, 14200, 235, 465127, 53.69, 53.70
1522525269, 12, 1, 14200, 237, 598153, 53.15, 53.70
1522525500, 12, 1, 14200, 231, 747575, 54.23, 53.70
1522525730, 12, 1, 14200, 229, 796999, 53.69, 53.70
1522525966, 12, 1, 14200, 235, 221640, 53.69, 53.70
1522526207, 12, 1, 14200, 241, 511019, 53.69, 53.70
1522526442, 12, 1, 14200, 234, 254458, 53.69, 53.70
1522526679, 12, 1, 14200, 237, 570489, 53.15, 53.70
1522526918, 12, 1, 14200, 238, 448746, 53.69, 53.70
1522527155, 12, 1, 14200, 236, 959569, 53.69, 54.20
1522527390, 12, 1, 14200, 235, 311000, 53.69, 54.80
1522527626, 12, 1, 14200, 235, 134846, 54.23, 54.20
1522527858, 12, 1, 14200, 232, 527848, 53.69, 53.70
1522528090, 12, 1, 14200, 231, 515724, 55.31, 54.80
1522528325, 12, 1, 14200, 234, 935045, 55.84, 55.80
1522528560, 12, 1, 14200, 235, 447012, 56.92, 56.40
1522528797, 12, 1, 14200, 236, 934879, 56.92, 56.90
1522529035, 12, 1, 14200, 237, 266122, 56.38, 55.80
1522529271, 12, 1, 14200, 236, 379849, 54.77, 54.80
1522529508, 12, 1, 14200, 236, 397707, 54.77, 53.70
1522529747, 12, 1, 14200, 239, 116496, 53.69, 53.70
1522529984, 12, 1, 14200, 236, 540322, 54.77, 54.20
1522530222, 12, 1, 14200, 238, 262876, 54.23, 55.30
1522530461, 12, 1, 14200, 238, 652514, 54.77, 54.80
1522530701, 12, 1, 14200, 239, 689781, 54.77, 55.80
1522530939, 12, 1, 14200, 238, 385172, 55.84, 55.80
1522531174, 12, 1, 14200, 234, 718317, 56.92, 56.40
1522531411, 12, 1, 14200, 236, 308118, 56.92, 56.40
1522531640, 12, 1, 14200, 229, 790581, 56.92, 56.90
1522531859, 12, 1, 14200, 218, 746041, 56.92, 56.90
