time,iteration,size,seconds,microseconds
1522543327, 0, 1511855, 1, 450165
1522543330, 1, 1615289, 2, 660444
1522543331, 2, 1000535, 1, 126364
1522543332, 3, 951239, 1, 432466
1522543333, 4, 437643, 0, 511758
1522543335, 5, 1511855, 2, 232359
1522543337, 6, 951239, 1, 966536
1522543338, 7, 1087667, 1, 54294
1522543340, 8, 1615289, 2, 85522
1522543347, 9, 4919186, 6, 585709
1522543348, 10, 1000535, 1, 535801
1522543349, 11, 1000535, 1, 125754
1522543355, 12, 4919186, 5, 943179
1522543357, 13, 1511855, 1, 532707
1522543357, 14, 437643, 0, 513174
1522543358, 15, 437643, 0, 942875
1522543365, 16, 4919186, 6, 825519
1522543366, 17, 1087667, 1, 139325
1522543369, 18, 1511855, 2, 761703
1522543374, 19, 3688570, 5, 325017
1522543376, 20, 1278476, 1, 536914
1522543377, 21, 437643, 1, 326675
1522543384, 22, 4919186, 7, 119362
1522543386, 23, 1511855, 1, 482215
1522543387, 24, 1000535, 1, 432882
1522543394, 25, 4919186, 6, 634770
1522543400, 26, 4919186, 5, 863621
1522543405, 27, 3224957, 4, 911754
1522543406, 28, 1278476, 1, 423743
1522543409, 29, 1000535, 2, 874713
1522543410, 30, 1000535, 1, 125299
1522543413, 31, 1615289, 2, 660835
1522543415, 32, 1511855, 1, 946999
1522543419, 33, 3224957, 4, 605660
1522543424, 34, 3224957, 4, 450401
1522543426, 35, 1511855, 1, 898219
1522543427, 36, 1000535, 1, 535690
1522543429, 37, 1278476, 1, 741309
1522543436, 38, 4919186, 7, 63986
1522543437, 39, 1000535, 1, 535995
1522543440, 40, 951239, 2, 366451
1522543446, 41, 3688570, 6, 30472
1522543451, 42, 3688570, 4, 834844
1522543452, 43, 951239, 1, 410160
1522543453, 44, 1000535, 1, 125861
1522543455, 45, 1000535, 1, 943773
1522543457, 46, 951239, 1, 477257
1522543457, 47, 437643, 0, 570677
1522543460, 48, 1511855, 2, 562208
1522543462, 49, 1000535, 1, 941009
1522543462, 50, 437643, 0, 512795
1522543469, 51, 4919186, 6, 449363
1522543470, 52, 1000535, 1, 434305
1522543472, 53, 1087667, 2, 148875
1522543473, 54, 437643, 0, 922818
1522543479, 55, 3688570, 5, 631173
1522543479, 56, 437643, 0, 512114
1522543483, 57, 1615289, 3, 377726
1522543484, 58, 1000535, 1, 183733
1522543485, 59, 1511855, 1, 439900
1522543487, 60, 1087667, 1, 880214
1522543489, 61, 1278476, 2, 153025
1522543490, 62, 437643, 0, 918178
1522543491, 63, 1000535, 1, 31491
1522543493, 64, 1087667, 2, 39498
1522543500, 65, 4919186, 6, 451301
1522543505, 66, 3224957, 5, 16704
1522543505, 67, 437643, 0, 510748
1522543507, 68, 1087667, 1, 368276
1522543511, 69, 3688570, 4, 296089
1522543513, 70, 1000535, 1, 606062
1522543514, 71, 1278476, 1, 782232
1522543516, 72, 1000535, 1, 702878
1522543517, 73, 951239, 1, 20352
1522543520, 74, 1087667, 2, 663466
1522543524, 75, 3224957, 4, 501669
1522543526, 76, 1511855, 1, 946883
1522543534, 77, 4919186, 7, 782761
1522543539, 78, 3688570, 4, 915334
1522543541, 79, 951239, 2, 45186
1522543547, 80, 4919186, 6, 554893
1522543550, 81, 1615289, 2, 596575
1522543552, 82, 1000535, 1, 605588
1522543554, 83, 951239, 2, 150411
1522543556, 84, 1511855, 2, 561718
1522543558, 85, 1000535, 1, 739923
1522543563, 86, 3688570, 4, 909397
1522543568, 87, 3224957, 4, 503885
1522543569, 88, 1087667, 1, 328558
1522543571, 89, 1087667, 2, 244930
1522543574, 90, 1615289, 2, 944689
1522543582, 91, 4919186, 7, 917618
1522543589, 92, 4919186, 6, 653665
1522543590, 93, 1278476, 1, 767161
1522543593, 94, 1087667, 2, 432293
1522543594, 95, 951239, 1, 211768
1522543597, 96, 1615289, 2, 778914
1522543599, 97, 1615289, 2, 459527
1522543604, 98, 3688570, 5, 73101
1522543607, 99, 1615289, 2, 913340
1522543608, 100, 437643, 0, 447537
1522543610, 101, 1278476, 1, 802223
1522543612, 102, 1278476, 2, 560139
1522543617, 103, 3224957, 4, 711737
1522543619, 104, 1278476, 2, 148953
1522543621, 105, 1087667, 1, 639467
1522543625, 106, 3224957, 4, 92872
1522543629, 107, 3688570, 4, 607190
1522543633, 108, 1511855, 3, 584107
1522543633, 109, 437643, 0, 513655
1522543635, 110, 1000535, 1, 477144
1522543637, 111, 1278476, 2, 513894
1522543645, 112, 4919186, 7, 135893
1522543646, 113, 1000535, 1, 503671
1522543648, 114, 951239, 1, 704204
1522543649, 115, 1000535, 1, 432816
1522543651, 116, 1278476, 2, 135168
1522543658, 117, 4919186, 6, 772572
1522543663, 118, 3688570, 5, 24381
1522543665, 119, 1511855, 1, 935840
1522543672, 120, 4919186, 6, 965839
1522543673, 121, 1000535, 1, 125250
1522543675, 122, 1615289, 2, 360040
1522543678, 123, 1278476, 2, 141321
1522543683, 124, 3224957, 5, 223252
1522543683, 125, 437643, 0, 487022
1522543685, 126, 1087667, 1, 661545
1522543687, 127, 1278476, 1, 991238
1522543688, 128, 437643, 0, 923089
1522543690, 129, 1511855, 1, 594184
