time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1522543369, 12, 4, 14200, 60, 350530, 60.69, 60.10
1522543430, 12, 4, 14200, 60, 598452, 66.60, 65.50
1522543491, 12, 4, 14200, 61, 86957, 67.14, 66.60
1522543555, 12, 4, 14200, 63, 987305, 67.68, 67.10
1522543621, 12, 4, 14200, 65, 97445, 67.68, 67.10
1522543687, 12, 4, 14200, 66, 77964, 67.68, 68.20
1522543753, 12, 4, 14200, 66, 130887, 68.22, 68.20
1522543820, 12, 4, 14200, 66, 562897, 68.76, 68.20
1522543886, 12, 4, 14200, 66, 627191, 68.22, 68.20
1522543953, 12, 4, 14200, 66, 936449, 68.76, 68.80
1522544020, 12, 4, 14200, 66, 628450, 68.76, 68.80
1522544088, 12, 4, 14200, 68, 393973, 68.76, 68.80
1522544157, 12, 4, 14200, 68, 54738, 67.68, 68.80
1522544225, 12, 4, 14200, 67, 849246, 67.68, 67.70
1522544292, 12, 4, 14200, 67, 466445, 67.68, 68.20
1522544360, 12, 4, 14200, 67, 609712, 68.22, 68.80
1522544428, 12, 4, 14200, 67, 861195, 68.76, 69.30
1522544496, 12, 4, 14200, 67, 753882, 68.22, 68.80
1522544562, 12, 4, 14200, 66, 844075, 69.83, 69.30
1522544631, 12, 4, 14200, 68, 464979, 67.68, 68.20
1522544700, 12, 4, 14200, 68, 422069, 68.76, 68.20
1522544768, 12, 4, 14200, 68, 241114, 68.76, 68.80
1522544836, 12, 4, 14200, 68, 527985, 69.29, 69.30
1522544905, 12, 4, 14200, 68, 381027, 68.76, 69.30
1522544974, 12, 4, 14200, 69, 130202, 68.76, 68.20
1522545042, 12, 4, 14200, 67, 404611, 69.29, 68.80
1522545111, 12, 4, 14200, 69, 148252, 68.76, 68.80
1522545180, 12, 4, 14200, 69, 230418, 68.22, 67.70
1522545248, 12, 4, 14200, 68, 27346, 68.76, 67.70
1522545318, 12, 4, 14200, 69, 739560, 69.29, 69.80
1522545387, 12, 4, 14200, 69, 117839, 68.76, 68.80
1522545457, 12, 4, 14200, 69, 456337, 68.76, 68.80
1522545527, 12, 4, 14200, 69, 583997, 68.76, 68.80
1522545595, 12, 4, 14200, 68, 594149, 68.76, 68.80
1522545665, 12, 4, 14200, 69, 933239, 69.29, 68.80
1522545735, 12, 4, 14200, 69, 286616, 68.76, 68.80
1522545803, 12, 4, 14200, 68, 545908, 69.29, 69.80
1522545872, 12, 4, 14200, 69, 69924, 68.76, 68.80
1522545942, 12, 4, 14200, 69, 415442, 68.76, 68.80
1522546011, 12, 4, 14200, 68, 686995, 68.76, 67.70
1522546079, 12, 4, 14200, 68, 549157, 69.83, 69.30
1522546148, 12, 4, 14200, 69, 185232, 67.68, 69.30
1522546217, 12, 4, 14200, 68, 906326, 68.22, 68.20
1522546286, 12, 4, 14200, 68, 432619, 68.76, 68.80
1522546355, 12, 4, 14200, 68, 712529, 68.76, 68.80
1522546424, 12, 4, 14200, 69, 345218, 68.76, 68.80
1522546494, 12, 4, 14200, 69, 452738, 68.76, 68.80
1522546564, 12, 4, 14200, 69, 839524, 68.22, 67.70
1522546632, 12, 4, 14200, 68, 500552, 69.83, 69.80
1522546701, 12, 4, 14200, 69, 88008, 69.29, 69.80
1522546770, 12, 4, 14200, 68, 740905, 69.83, 69.80
1522546840, 12, 4, 14200, 69, 812319, 68.76, 68.80
1522546909, 12, 4, 14200, 68, 993260, 69.83, 69.30
1522546979, 12, 4, 14200, 69, 327824, 69.29, 68.80
1522547049, 12, 4, 14200, 69, 836817, 69.83, 69.80
1522547118, 12, 4, 14200, 69, 200202, 67.68, 69.30
1522547187, 12, 4, 14200, 69, 68523, 68.76, 68.80
1522547256, 12, 4, 14200, 68, 821874, 69.29, 68.80
1522547325, 12, 4, 14200, 68, 668350, 68.76, 68.80
1522547393, 12, 4, 14200, 68, 59286, 69.29, 69.30
1522547462, 12, 4, 14200, 68, 857507, 68.76, 68.80
1522547531, 12, 4, 14200, 69, 353691, 68.76, 67.70
1522547600, 12, 4, 14200, 68, 521900, 69.83, 69.30
1522547669, 12, 4, 14200, 68, 747051, 68.76, 69.80
1522547737, 12, 4, 14200, 68, 567558, 68.76, 68.80
1522547806, 12, 4, 14200, 68, 472588, 68.76, 68.80
1522547874, 12, 4, 14200, 67, 708421, 68.76, 68.80
1522547943, 12, 4, 14200, 68, 938177, 68.76, 68.80
1522548012, 12, 4, 14200, 68, 796508, 68.76, 68.80
1522548081, 12, 4, 14200, 68, 853426, 68.76, 68.80
1522548149, 12, 4, 14200, 68, 424985, 69.29, 69.30
1522548219, 12, 4, 14200, 69, 705594, 68.76, 69.30
1522548287, 12, 4, 14200, 67, 968350, 68.76, 68.20
1522548356, 12, 4, 14200, 69, 4497, 68.76, 68.80
1522548425, 12, 4, 14200, 68, 663318, 69.29, 69.30
1522548494, 12, 4, 14200, 68, 713532, 69.29, 68.80
1522548562, 12, 4, 14200, 68, 5975, 69.83, 69.80
1522548632, 12, 4, 14200, 70, 130113, 68.76, 68.80
1522548701, 12, 4, 14200, 68, 820056, 69.29, 69.30
1522548770, 12, 4, 14200, 69, 504831, 68.76, 69.30
1522548840, 12, 4, 14200, 69, 333692, 68.76, 68.20
1522548909, 12, 4, 14200, 69, 477171, 68.22, 68.80
1522548978, 12, 4, 14200, 68, 770033, 68.76, 68.80
1522549048, 12, 4, 14200, 69, 925028, 68.22, 67.70
1522549116, 12, 4, 14200, 67, 885006, 69.29, 69.30
1522549186, 12, 4, 14200, 69, 471352, 69.29, 68.80
1522549254, 12, 4, 14200, 67, 866486, 69.29, 69.30
1522549323, 12, 4, 14200, 69, 11187, 69.29, 69.30
1522549391, 12, 4, 14200, 68, 165889, 69.29, 69.30
1522549460, 12, 4, 14200, 68, 704261, 68.76, 69.30
1522549528, 12, 4, 14200, 67, 897928, 68.76, 69.30
1522549597, 12, 4, 14200, 69, 381290, 69.83, 69.80
1522549665, 12, 4, 14200, 68, 19714, 69.83, 69.80
1522549734, 12, 4, 14200, 68, 653243, 68.76, 69.80
1522549803, 12, 4, 14200, 69, 241164, 68.76, 68.80
1522549872, 12, 4, 14200, 68, 652259, 68.76, 69.30
1522549941, 12, 4, 14200, 69, 3123, 68.76, 68.80
1522550010, 12, 4, 14200, 68, 793836, 68.76, 69.30
1522550079, 12, 4, 14200, 68, 604919, 68.76, 68.80
1522550148, 12, 4, 14200, 69, 79589, 68.76, 68.80
