time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1522482512, 12, 1, 14200, 212, 744215, 47.77, 47.80
1522482724, 12, 1, 14200, 212, 261750, 48.31, 48.90
1522482937, 12, 1, 14200, 212, 287200, 49.39, 48.90
1522483154, 12, 1, 14200, 216, 850590, 49.93, 50.50
1522483366, 12, 1, 14200, 212, 379556, 49.93, 49.40
1522483579, 12, 1, 14200, 212, 658581, 49.39, 49.90
1522483791, 12, 1, 14200, 212, 408348, 50.46, 49.90
1522484009, 12, 1, 14200, 217, 209906, 49.93, 50.50
1522484227, 12, 1, 14200, 218, 211454, 50.46, 50.50
1522484440, 12, 1, 14200, 212, 759059, 50.46, 50.50
1522484652, 12, 1, 14200, 212, 416241, 50.46, 50.50
1522484865, 12, 1, 14200, 212, 287529, 50.46, 50.50
1522485081, 12, 1, 14200, 216, 187029, 50.46, 50.50
1522485294, 12, 1, 14200, 212, 635859, 49.93, 50.50
1522485506, 12, 1, 14200, 212, 820736, 50.46, 49.90
1522485719, 12, 1, 14200, 212, 263851, 50.46, 50.50
1522485931, 12, 1, 14200, 212, 673613, 51.00, 51.00
1522486144, 12, 1, 14200, 212, 505176, 50.46, 50.50
1522486356, 12, 1, 14200, 211, 963075, 50.46, 50.50
1522486569, 12, 1, 14200, 212, 378960, 50.46, 51.50
1522486781, 12, 1, 14200, 212, 654443, 50.46, 50.50
1522486998, 12, 1, 14200, 216, 332768, 50.46, 50.50
1522487211, 12, 1, 14200, 212, 859797, 51.54, 50.50
1522487423, 12, 1, 14200, 212, 508888, 49.93, 50.50
1522487639, 12, 1, 14200, 216, 250269, 50.46, 50.50
1522487852, 12, 1, 14200, 212, 568254, 50.46, 49.40
1522488065, 12, 1, 14200, 213, 37274, 51.54, 50.50
1522488278, 12, 1, 14200, 212, 235127, 51.00, 50.50
1522488490, 12, 1, 14200, 212, 258663, 51.54, 51.00
1522488707, 12, 1, 14200, 217, 311756, 51.00, 51.00
1522488921, 12, 1, 14200, 213, 345697, 51.00, 50.50
1522489137, 12, 1, 14200, 216, 609200, 50.46, 50.50
1522489350, 12, 1, 14200, 212, 419014, 50.46, 51.50
1522489562, 12, 1, 14200, 212, 405401, 50.46, 50.50
1522489776, 12, 1, 14200, 213, 639514, 50.46, 50.50
1522489990, 12, 1, 14200, 213, 674039, 50.46, 51.50
1522490202, 12, 1, 14200, 212, 197450, 52.62, 52.10
1522490415, 12, 1, 14200, 212, 662419, 53.69, 53.20
1522490627, 12, 1, 14200, 212, 414466, 53.69, 53.70
1522490840, 12, 1, 14200, 212, 626149, 53.69, 54.20
1522491053, 12, 1, 14200, 212, 517181, 53.69, 53.70
1522491268, 12, 1, 14200, 215, 453385, 54.23, 54.20
1522491481, 12, 1, 14200, 212, 572540, 53.69, 54.20
1522491694, 12, 1, 14200, 212, 846587, 53.15, 53.70
1522491906, 12, 1, 14200, 212, 254903, 53.69, 53.70
1522492119, 12, 1, 14200, 212, 504776, 53.69, 52.60
1522492331, 12, 1, 14200, 212, 145334, 53.69, 53.70
1522492544, 12, 1, 14200, 213, 110244, 53.15, 53.70
1522492757, 12, 1, 14200, 212, 899414, 53.69, 53.20
1522492970, 12, 1, 14200, 212, 544048, 53.69, 53.70
