time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1522564411, 12, 1, 14200, 269, 105553, 56.38, 55.80
1522564695, 12, 1, 14200, 283, 745758, 55.84, 55.80
1522564969, 12, 1, 14200, 273, 745759, 55.84, 56.40
1522565248, 12, 1, 14200, 279, 100471, 55.84, 55.80
1522565527, 12, 1, 14200, 278, 671968, 55.84, 56.40
1522565801, 12, 1, 14200, 273, 742716, 55.84, 55.80
1522566083, 12, 1, 14200, 282, 84693, 55.84, 55.80
1522566362, 12, 1, 14200, 279, 432503, 55.84, 55.80
1522566640, 12, 1, 14200, 277, 715004, 55.84, 55.80
1522566910, 12, 1, 14200, 269, 102247, 55.84, 55.80
1522567181, 12, 1, 14200, 271, 308202, 55.84, 55.80
1522567455, 12, 1, 14200, 273, 474597, 56.38, 55.80
1522567735, 12, 1, 14200, 279, 956517, 55.84, 56.40
1522568021, 12, 1, 14200, 286, 6243, 55.31, 55.30
1522568294, 12, 1, 14200, 273, 350088, 55.84, 56.40
1522568568, 12, 1, 14200, 273, 793284, 56.38, 56.40
1522568846, 12, 1, 14200, 277, 429659, 55.84, 55.80
1522569114, 12, 1, 14200, 268, 164611, 55.84, 56.40
1522569391, 12, 1, 14200, 277, 210216, 55.84, 55.80
1522569663, 12, 1, 14200, 271, 136877, 55.84, 55.80
1522569949, 12, 1, 14200, 285, 972056, 54.77, 55.30
1522570224, 12, 1, 14200, 274, 596663, 55.84, 55.80
1522570502, 12, 1, 14200, 278, 502789, 55.84, 56.40
1522570775, 12, 1, 14200, 272, 673902, 56.38, 55.80
1522571048, 12, 1, 14200, 272, 540804, 55.84, 56.40
1522571320, 12, 1, 14200, 271, 849920, 56.38, 56.40
1522571597, 12, 1, 14200, 277, 91597, 55.84, 55.80
1522571873, 12, 1, 14200, 276, 492662, 56.38, 56.90
1522572142, 12, 1, 14200, 268, 81127, 56.38, 56.40
1522572416, 12, 1, 14200, 274, 572391, 55.84, 56.40
1522572688, 12, 1, 14200, 271, 341479, 55.84, 55.80
1522572962, 12, 1, 14200, 274, 309854, 55.31, 54.80
1522573231, 12, 1, 14200, 268, 732006, 56.92, 56.40
1522573501, 12, 1, 14200, 269, 495339, 55.84, 55.30
1522573776, 12, 1, 14200, 274, 770433, 55.84, 55.30
1522574045, 12, 1, 14200, 269, 174233, 56.38, 55.80
1522574316, 12, 1, 14200, 271, 348579, 55.84, 56.90
1522574588, 12, 1, 14200, 271, 310479, 56.38, 56.90
1522574864, 12, 1, 14200, 276, 613495, 56.38, 56.40
1522575131, 12, 1, 14200, 266, 428014, 55.84, 55.80
1522575404, 12, 1, 14200, 272, 900205, 55.31, 55.30
1522575678, 12, 1, 14200, 274, 312086, 55.31, 55.30
1522575955, 12, 1, 14200, 276, 339750, 55.84, 55.80
1522576226, 12, 1, 14200, 271, 64993, 55.84, 55.80
1522576508, 12, 1, 14200, 281, 556370, 55.31, 54.80
