time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1522482601, 12, 1, 14200, 250, 967745, 48.31, 48.30
1522482852, 12, 1, 14200, 250, 984046, 49.39, 49.90
1522483105, 12, 1, 14200, 252, 688890, 50.46, 50.50
1522483356, 12, 1, 14200, 250, 745622, 51.54, 51.00
1522483609, 12, 1, 14200, 253, 3723, 50.46, 50.50
1522483861, 12, 1, 14200, 252, 89648, 50.46, 50.50
1522484114, 12, 1, 14200, 253, 309443, 50.46, 51.00
1522484369, 12, 1, 14200, 254, 741716, 50.46, 50.50
1522484622, 12, 1, 14200, 252, 290942, 50.46, 50.50
1522484872, 12, 1, 14200, 249, 814642, 49.39, 49.90
1522485123, 12, 1, 14200, 251, 89456, 51.00, 51.00
1522485375, 12, 1, 14200, 252, 219564, 50.46, 50.50
1522485625, 12, 1, 14200, 250, 349172, 51.00, 51.00
1522485876, 12, 1, 14200, 250, 498161, 51.00, 51.00
1522486127, 12, 1, 14200, 251, 253054, 50.46, 49.40
1522486378, 12, 1, 14200, 251, 129199, 51.54, 51.50
1522486632, 12, 1, 14200, 253, 333987, 51.54, 51.50
1522486883, 12, 1, 14200, 251, 324395, 50.46, 50.50
1522487133, 12, 1, 14200, 249, 537737, 51.00, 51.50
1522487383, 12, 1, 14200, 250, 126064, 51.54, 51.50
1522487634, 12, 1, 14200, 251, 62052, 50.46, 51.00
1522487885, 12, 1, 14200, 250, 487162, 51.00, 51.00
1522488135, 12, 1, 14200, 250, 18963, 51.00, 51.00
1522488385, 12, 1, 14200, 250, 214901, 50.46, 51.50
1522488637, 12, 1, 14200, 251, 538428, 50.46, 51.00
1522488890, 12, 1, 14200, 253, 254319, 50.46, 50.50
1522489143, 12, 1, 14200, 252, 523786, 49.39, 49.90
1522489393, 12, 1, 14200, 250, 97254, 51.00, 51.00
1522489645, 12, 1, 14200, 251, 843951, 51.00, 51.00
1522489896, 12, 1, 14200, 250, 768125, 50.46, 51.50
1522490148, 12, 1, 14200, 252, 259012, 51.54, 51.50
1522490399, 12, 1, 14200, 250, 564997, 51.54, 51.00
1522490649, 12, 1, 14200, 250, 205562, 52.08, 52.10
1522490899, 12, 1, 14200, 250, 356667, 51.54, 52.10
1522491152, 12, 1, 14200, 252, 729922, 52.08, 52.10
1522491403, 12, 1, 14200, 250, 613605, 52.62, 52.60
1522491654, 12, 1, 14200, 250, 950932, 51.54, 51.50
1522491905, 12, 1, 14200, 251, 310094, 52.08, 52.10
1522492155, 12, 1, 14200, 249, 810680, 52.08, 52.60
1522492406, 12, 1, 14200, 251, 164281, 52.62, 52.10
1522492658, 12, 1, 14200, 251, 718906, 51.54, 52.10
1522492908, 12, 1, 14200, 249, 725297, 52.08, 52.60
1522493161, 12, 1, 14200, 252, 737026, 51.54, 51.50
1522493411, 12, 1, 14200, 250, 172245, 52.08, 52.10
1522493662, 12, 1, 14200, 250, 860092, 51.54, 51.50
