time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1568744940, 12, 4, 14200, 109, 325723, 48.64, 47.27
1568745049, 12, 4, 14200, 108, 184550, 49.55, 46.82
1568745171, 12, 4, 14200, 120, 850679, 50.83, 49.09
1568745285, 12, 4, 14200, 114, 115331, 51.67, 49.55
1568745396, 12, 4, 14200, 110, 559387, 53.33, 51.25
1568745505, 12, 4, 14200, 109, 381867, 54.58, 52.08
1568745620, 12, 4, 14200, 114, 552664, 54.17, 51.25
1568745736, 12, 4, 14200, 115, 865548, 52.50, 52.08
1568745847, 12, 4, 14200, 110, 940334, 53.33, 51.67
1568745960, 12, 4, 14200, 113, 198646, 52.50, 51.25
1568746073, 12, 4, 14200, 112, 637500, 52.08, 50.83
1568746185, 12, 4, 14200, 111, 338985, 54.17, 51.67
1568746297, 12, 4, 14200, 112, 548744, 52.08, 50.00
1568746408, 12, 4, 14200, 109, 44467, 53.75, 51.25
1568746523, 12, 4, 14200, 114, 544750, 53.75, 51.67
1568746636, 12, 4, 14200, 113, 507247, 52.92, 52.50
1568746750, 12, 4, 14200, 113, 846423, 53.33, 52.50
1568746860, 12, 4, 14200, 109, 789397, 53.75, 51.25
1568746974, 12, 4, 14200, 113, 917287, 55.45, 52.50
1568747085, 12, 4, 14200, 110, 395947, 53.75, 52.50
1568747205, 12, 4, 14200, 120, 407803, 54.17, 50.83
1568747317, 12, 4, 14200, 111, 171554, 53.75, 51.25
1568747424, 12, 4, 14200, 107, 569541, 53.75, 51.67
1568747536, 12, 4, 14200, 111, 176338, 55.00, 51.67
1568747645, 12, 4, 14200, 108, 709058, 53.75, 52.08
1568747753, 12, 4, 14200, 108, 306097, 53.75, 52.92
1568747862, 12, 4, 14200, 108, 452263, 53.33, 52.08
1568747976, 12, 4, 14200, 114, 71125, 54.17, 52.08
1568748088, 12, 4, 14200, 112, 81972, 54.17, 52.50
1568748197, 12, 4, 14200, 108, 488302, 54.58, 52.92
1568748309, 12, 4, 14200, 112, 415968, 54.58, 51.25
1568748424, 12, 4, 14200, 114, 289642, 54.58, 52.50
1568748537, 12, 4, 14200, 113, 422813, 54.17, 52.08
1568748653, 12, 4, 14200, 115, 941584, 54.17, 52.50
1568748765, 12, 4, 14200, 111, 844822, 55.91, 52.92
1568748876, 12, 4, 14200, 110, 426877, 54.17, 52.50
1568748986, 12, 4, 14200, 109, 599602, 55.00, 53.75
1568749093, 12, 4, 14200, 106, 901546, 55.00, 53.33
1568749214, 12, 4, 14200, 121, 562367, 53.33, 51.67
1568749327, 12, 4, 14200, 112, 164981, 54.58, 52.92
1568749435, 12, 4, 14200, 108, 559501, 56.36, 54.17
1568749549, 12, 4, 14200, 113, 574459, 55.45, 53.33
1568749664, 12, 4, 14200, 115, 108183, 54.58, 53.33
1568749772, 12, 4, 14200, 107, 953322, 54.17, 52.08
1568749884, 12, 4, 14200, 111, 659850, 55.45, 53.75
1568750000, 12, 4, 14200, 115, 627522, 55.00, 52.92
1568750108, 12, 4, 14200, 108, 402350, 55.00, 53.33
1568750225, 12, 4, 14200, 116, 112157, 54.58, 52.50
1568750336, 12, 4, 14200, 111, 243195, 55.00, 52.92
1568750451, 12, 4, 14200, 114, 888553, 54.17, 52.08
1568750570, 12, 4, 14200, 118, 393927, 54.17, 51.67
1568750683, 12, 4, 14200, 113, 543744, 55.00, 53.33
1568750793, 12, 4, 14200, 109, 816250, 55.45, 52.08
1568750904, 12, 4, 14200, 110, 977215, 54.17, 51.67
1568751015, 12, 4, 14200, 110, 207144, 55.00, 53.33
1568751133, 12, 4, 14200, 118, 724140, 55.45, 52.08
1568751247, 12, 4, 14200, 113, 828849, 54.58, 53.75
1568751366, 12, 4, 14200, 118, 62524, 54.17, 52.50
1568751473, 12, 4, 14200, 107, 363695, 55.00, 52.08
1568751583, 12, 4, 14200, 109, 576507, 55.91, 52.92
1568751693, 12, 4, 14200, 109, 755054, 55.91, 52.92
1568751811, 12, 4, 14200, 118, 554340, 53.75, 52.08
1568751922, 12, 4, 14200, 110, 40331, 55.45, 53.33
1568752031, 12, 4, 14200, 108, 354478, 55.45, 53.75
1568752141, 12, 4, 14200, 110, 279141, 53.75, 51.25
1568752259, 12, 4, 14200, 117, 139489, 54.58, 52.50
1568752367, 12, 4, 14200, 107, 611668, 56.36, 52.50
1568752474, 12, 4, 14200, 107, 16254, 55.00, 53.75
1568752584, 12, 4, 14200, 109, 969070, 55.45, 52.92
1568752692, 12, 4, 14200, 107, 558068, 54.58, 53.33
1568752815, 12, 4, 14200, 123, 95063, 51.25, 51.25
1568752932, 12, 4, 14200, 116, 513596, 54.58, 51.67
1568753039, 12, 4, 14200, 106, 480773, 55.45, 52.92
1568753148, 12, 4, 14200, 108, 811775, 55.00, 52.92
1568753258, 12, 4, 14200, 110, 666352, 54.17, 50.83
1568753374, 12, 4, 14200, 113, 546347, 55.00, 53.33
1568753486, 12, 4, 14200, 112, 155675, 55.45, 52.92
1568753601, 12, 4, 14200, 114, 746412, 54.58, 52.92
1568753714, 12, 4, 14200, 113, 45767, 53.33, 52.08
1568753828, 12, 4, 14200, 113, 106520, 55.45, 53.33
1568753938, 12, 4, 14200, 109, 362548, 52.08, 51.67
1568754054, 12, 4, 14200, 115, 670747, 54.58, 51.67
1568754176, 12, 4, 14200, 122, 141726, 56.36, 52.92
1568754285, 12, 4, 14200, 109, 256184, 54.58, 52.08
1568754402, 12, 4, 14200, 115, 991970, 55.91, 53.75
1568754519, 12, 4, 14200, 117, 418348, 55.00, 53.75
1568754629, 12, 4, 14200, 109, 160004, 55.45, 54.17
1568754744, 12, 4, 14200, 115, 470086, 55.45, 52.92
1568754853, 12, 4, 14200, 108, 353288, 57.73, 54.58
1568754963, 12, 4, 14200, 109, 894369, 56.36, 53.75
1568755080, 12, 4, 14200, 117, 69950, 55.00, 53.33
1568755191, 12, 4, 14200, 111, 41739, 55.45, 53.33
1568755303, 12, 4, 14200, 111, 161288, 55.45, 53.33
1568755414, 12, 4, 14200, 111, 524919, 55.45, 54.17
1568755524, 12, 4, 14200, 110, 61654, 57.27, 54.17
1568755640, 12, 4, 14200, 115, 704500, 57.27, 54.17
1568755753, 12, 4, 14200, 112, 740434, 55.00, 54.17
1568755863, 12, 4, 14200, 109, 773402, 55.91, 53.75
1568755969, 12, 4, 14200, 106, 101309, 55.00, 54.17
1568756084, 12, 4, 14200, 114, 451304, 55.00, 52.08
