time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1568761715, 12, 1, 14200, 334, 887689, 48.18, 46.36
1568762053, 12, 1, 14200, 337, 177253, 46.82, 46.82
1568762391, 12, 1, 14200, 338, 14243, 49.55, 46.82
1568762726, 12, 1, 14200, 334, 805860, 47.27, 45.00
1568763062, 12, 1, 14200, 335, 797140, 46.82, 45.00
1568763396, 12, 1, 14200, 334, 324516, 46.36, 44.09
1568763736, 12, 1, 14200, 339, 284579, 46.36, 44.09
1568764074, 12, 1, 14200, 337, 226909, 45.91, 44.55
1568764412, 12, 1, 14200, 338, 206697, 46.82, 44.55
1568764747, 12, 1, 14200, 335, 145044, 46.82, 44.55
1568765082, 12, 1, 14200, 334, 839520, 45.91, 44.09
1568765418, 12, 1, 14200, 335, 925187, 45.91, 44.09
1568765753, 12, 1, 14200, 334, 71401, 45.91, 43.64
1568766088, 12, 1, 14200, 335, 288277, 45.91, 45.00
1568766422, 12, 1, 14200, 334, 13204, 45.45, 43.64
1568766758, 12, 1, 14200, 335, 300663, 46.82, 43.64
1568767095, 12, 1, 14200, 336, 809226, 45.91, 45.45
1568767429, 12, 1, 14200, 333, 852844, 45.91, 42.73
1568767763, 12, 1, 14200, 334, 203026, 45.45, 44.09
1568768099, 12, 1, 14200, 335, 633159, 46.36, 44.55
1568768432, 12, 1, 14200, 333, 799875, 45.91, 43.64
1568768768, 12, 1, 14200, 335, 678521, 44.55, 43.18
1568769108, 12, 1, 14200, 337, 467921, 46.36, 44.55
1568769443, 12, 1, 14200, 335, 616309, 45.45, 43.18
1568769790, 12, 1, 14200, 346, 496671, 46.36, 45.00
1568770124, 12, 1, 14200, 333, 955581, 46.36, 44.55
1568770460, 12, 1, 14200, 335, 361481, 45.45, 42.73
1568770794, 12, 1, 14200, 334, 68055, 45.91, 44.09
1568771129, 12, 1, 14200, 334, 925579, 45.45, 43.18
1568771469, 12, 1, 14200, 339, 932755, 45.91, 43.18
1568771806, 12, 1, 14200, 336, 523871, 46.36, 45.00
1568772144, 12, 1, 14200, 337, 928856, 45.00, 43.18
1568772479, 12, 1, 14200, 333, 741687, 44.09, 41.82
1568772817, 12, 1, 14200, 334, 929708, 46.36, 44.09
1568773151, 12, 1, 14200, 334, 531619, 45.91, 44.09
1568773486, 12, 1, 14200, 334, 823888, 45.00, 43.18
1568773821, 12, 1, 14200, 334, 998022, 45.91, 44.55
1568774164, 12, 1, 14200, 342, 778070, 45.00, 43.64
1568774500, 12, 1, 14200, 335, 267145, 46.36, 43.18
1568774834, 12, 1, 14200, 334, 622668, 45.00, 42.73
1568775173, 12, 1, 14200, 338, 66228, 46.36, 43.64
1568775508, 12, 1, 14200, 335, 342476, 42.27, 42.73
1568775846, 12, 1, 14200, 337, 549052, 46.36, 43.64
1568776181, 12, 1, 14200, 334, 444975, 45.91, 43.64
1568776518, 12, 1, 14200, 337, 309926, 45.45, 43.18
1568776853, 12, 1, 14200, 334, 344173, 46.36, 43.18
1568777193, 12, 1, 14200, 340, 192776, 44.55, 43.18
1568777530, 12, 1, 14200, 336, 663145, 44.55, 43.18
1568777866, 12, 1, 14200, 335, 804147, 45.45, 44.09
1568778201, 12, 1, 14200, 335, 140632, 45.00, 42.73
